"ID","Name","GeneratingUnitType","GenControlMode"
"gen-4192-1","BROWNSVILL~1-1","Unknown",Setpoint
"gen-4192-10","BROWNSVILL~1-10","Unknown",Setpoint
"gen-4192-2","BROWNSVILL~1-2","Unknown",Setpoint
"gen-4192-3","BROWNSVILL~1-3","Unknown",Setpoint
"gen-4192-4","BROWNSVILL~1-4","Unknown",Setpoint
"gen-4192-5","BROWNSVILL~1-5","Unknown",Setpoint
"gen-4192-6","BROWNSVILL~1-6","Unknown",Setpoint
"gen-4192-7","BROWNSVILL~1-7","Unknown",Setpoint
"gen-4192-8","BROWNSVILL~1-8","Unknown",Setpoint
"gen-4192-9","BROWNSVILL~1-9","Unknown",Setpoint
"gen-4194-1","SEBASTIAN ~1-1","Unknown",Setpoint
"gen-4195-1","OILTON 0-1","Unknown",Setpoint
"gen-5020-1","JACKSBORO ~3-1","Unknown",Setpoint
"gen-5023-1","ALEDO 1 2-1","Unknown",Setpoint
"gen-5035-1","DALLAS 1 2-1","Unknown",Setpoint
"gen-5036-1","DALLAS 1 3-1","Unknown",Setpoint
"gen-5037-1","DALLAS 1 4-1","Unknown",Setpoint
"gen-5038-1","DALLAS 1 5-1","Unknown",Setpoint
"gen-5039-1","DALLAS 1 6-1","Unknown",Setpoint
"gen-5040-1","DALLAS 1 7-1","Unknown",Setpoint
"gen-5041-1","DALLAS 1 8-1","Unknown",Setpoint
"gen-5042-1","DALLAS 1 9-1","Unknown",Setpoint
"gen-5051-1","GREENVILLE~3-1","Unknown",Setpoint
"gen-5057-1","GRAHAM 2-1","Unknown",Setpoint
"gen-5058-1","GRAHAM 3-1","Unknown",Setpoint
"gen-5065-1","ARLINGTON ~3-1","Unknown",Setpoint
"gen-5066-1","ARLINGTON ~4-1","Unknown",Setpoint
"gen-5067-1","ARLINGTON ~5-1","Unknown",Setpoint
"gen-5068-1","ARLINGTON ~6-1","Unknown",Setpoint
"gen-5069-1","ARLINGTON ~7-1","Unknown",Setpoint
"gen-5089-1","CLIFTON 1 1-1","Unknown",Setpoint
"gen-5106-1","IRVING 1 1-1","Unknown",Setpoint
"gen-5107-1","IRVING 1 2-1","Unknown",Setpoint
"gen-5166-1","DENTON 1 2-1","Unknown",Setpoint
"gen-5167-1","DENTON 1 3-1","Unknown",Setpoint
"gen-5170-1","DUBLIN 1 1-1","Unknown",Setpoint
"gen-5198-1","BRYSON 1 2-1","Unknown",Setpoint
"gen-5206-1","POOLVILLE 2-1","Unknown",Setpoint
"gen-5207-1","POOLVILLE 3-1","Unknown",Setpoint
"gen-5208-1","POOLVILLE 4-1","Unknown",Setpoint
"gen-5238-1","OLNEY 1 2-1","Unknown",Setpoint
"gen-5243-1","GOLDTHWAIT~5-1","Unknown",Setpoint
"gen-5262-1","GLEN ROSE ~3-1","Unknown",Setpoint
"gen-5263-1","GLEN ROSE ~4-1","Unknown",Setpoint
"gen-5281-1","TEMPLE 1 2-1","Unknown",Setpoint
"gen-5282-1","TEMPLE 1 3-1","Unknown",Setpoint
"gen-5283-1","TEMPLE 1 4-1","Unknown",Setpoint
"gen-5297-1","MCKINNEY 1 2-1","Unknown",Setpoint
"gen-5298-1","MCKINNEY 1 3-1","Unknown",Setpoint
"gen-5299-1","MCKINNEY 1 4-1","Unknown",Setpoint
"gen-5300-1","MCKINNEY 1 5-1","Unknown",Setpoint
"gen-5301-1","MCKINNEY 1 6-1","Unknown",Setpoint
"gen-5302-1","MCKINNEY 1 7-1","Unknown",Setpoint
"gen-5303-1","MCKINNEY 1 8-1","Unknown",Setpoint
"gen-5319-1","GRANBURY 1 2-1","Unknown",Setpoint
"gen-5320-1","GRANBURY 1 3-1","Unknown",Setpoint
"gen-5321-1","GRANBURY 1 4-1","Unknown",Setpoint
"gen-5324-1","DALLAS 2 2-1","Unknown",Setpoint
"gen-5325-1","DALLAS 2 3-1","Unknown",Setpoint
"gen-5326-1","DALLAS 2 4-1","Unknown",Setpoint
"gen-5342-1","LEWISVILLE~2-1","Unknown",Setpoint
"gen-5343-1","LEWISVILLE~3-1","Unknown",Setpoint
"gen-5360-1","RIESEL 1 2-1","Unknown",Setpoint
"gen-5363-1","BRIDGEPORT 2-1","Unknown",Setpoint
"gen-5364-1","BRIDGEPORT 3-1","Unknown",Setpoint
"gen-5365-1","BRIDGEPORT 4-1","Unknown",Setpoint
"gen-5366-1","BRIDGEPORT 5-1","Unknown",Setpoint
"gen-5367-1","BRIDGEPORT 6-1","Unknown",Setpoint
"gen-5368-1","BRIDGEPORT 7-1","Unknown",Setpoint
"gen-5369-1","BRIDGEPORT 8-1","Unknown",Setpoint
"gen-5382-1","ENNIS 2-1","Unknown",Setpoint
"gen-5383-1","ENNIS 3-1","Unknown",Setpoint
"gen-5399-1","ALBANY 1 5-1","Unknown",Setpoint
"gen-5403-1","GRANBURY 2 2-1","Unknown",Setpoint
"gen-5404-1","GRANBURY 2 3-1","Unknown",Setpoint
"gen-5405-1","GRANBURY 2 4-1","Unknown",Setpoint
"gen-5406-1","GRANBURY 2 5-1","Unknown",Setpoint
"gen-5415-1","PALO PINTO~3-1","Unknown",Setpoint
"gen-5416-1","PALO PINTO~4-1","Unknown",Setpoint
"gen-5417-1","PALO PINTO~5-1","Unknown",Setpoint
"gen-5418-1","PALO PINTO~6-1","Unknown",Setpoint
"gen-5419-1","PALO PINTO~7-1","Unknown",Setpoint
"gen-5423-1","LEWSIVILLE 1-1","Unknown",Setpoint
"gen-5424-1","LEWSIVILLE 2-1","Unknown",Setpoint
"gen-5444-1","MIDLOTHIAN~1-1","Unknown",Setpoint
"gen-5444-2","MIDLOTHIAN~1-2","Unknown",Setpoint
"gen-5444-3","MIDLOTHIAN~1-3","Unknown",Setpoint
"gen-5444-4","MIDLOTHIAN~1-4","Unknown",Setpoint
"gen-5444-5","MIDLOTHIAN~1-5","Unknown",Setpoint
"gen-5444-6","MIDLOTHIAN~1-6","Unknown",Setpoint
"gen-5444-7","MIDLOTHIAN~1-7","Unknown",Setpoint
"gen-5444-8","MIDLOTHIAN~1-8","Unknown",Setpoint
"gen-6006-1","BASTROP 3-1","Unknown",Setpoint
"gen-6007-1","BASTROP 4-1","Unknown",Setpoint
"gen-6008-1","BASTROP 5-1","Unknown",Setpoint
"gen-6009-1","BASTROP 6-1","Unknown",Setpoint
"gen-6010-1","BASTROP 7-1","Unknown",Setpoint
"gen-6041-1","AUSTIN 3 3-1","Unknown",Setpoint
"gen-6042-1","AUSTIN 3 4-1","Unknown",Setpoint
"gen-6048-1","SAN ANTON~24-1","Unknown",Setpoint
"gen-6049-1","SAN ANTON~25-1","Unknown",Setpoint
"gen-6050-1","SAN ANTON~26-1","Unknown",Setpoint
"gen-6051-1","SAN ANTON~27-1","Unknown",Setpoint
"gen-6052-1","SAN ANTON~28-1","Unknown",Setpoint
"gen-6053-1","SAN ANTON~29-1","Unknown",Setpoint
"gen-6054-1","SAN ANTON~30-1","Unknown",Setpoint
"gen-6069-1","MARION 1 3-1","Unknown",Setpoint
"gen-6070-1","MARION 1 4-1","Unknown",Setpoint
"gen-6071-1","MARION 1 5-1","Unknown",Setpoint
"gen-6072-1","MARION 1 6-1","Unknown",Setpoint
"gen-6073-1","MARION 1 7-1","Unknown",Setpoint
"gen-6074-1","MARION 1 8-1","Unknown",Setpoint
"gen-6078-1","LA GRANGE 3-1","Unknown",Setpoint
"gen-6079-1","LA GRANGE 4-1","Unknown",Setpoint
"gen-6080-1","LA GRANGE 5-1","Unknown",Setpoint
"gen-6082-1","MARBLE FAL~2-1","Unknown",Setpoint
"gen-6083-1","MARBLE FAL~3-1","Unknown",Setpoint
"gen-6085-1","ROUND ROCK~2-1","Unknown",Setpoint
"gen-6086-1","ROUND ROCK~3-1","Unknown",Setpoint
"gen-6087-1","ROUND ROCK~4-1","Unknown",Setpoint
"gen-6088-1","ROUND ROCK~5-1","Unknown",Setpoint
"gen-6089-1","ROUND ROCK~6-1","Unknown",Setpoint
"gen-6090-1","ROUND ROCK~7-1","Unknown",Setpoint
"gen-6104-1","WINCHESTER 3-1","Unknown",Setpoint
"gen-6105-1","WINCHESTER 4-1","Unknown",Setpoint
"gen-6106-1","WINCHESTER 5-1","Unknown",Setpoint
"gen-6110-1","ROCKDALE 1 3-1","Unknown",Setpoint
"gen-6111-1","ROCKDALE 1 4-1","Unknown",Setpoint
"gen-6144-1","SAN ANTONI~4-1","Unknown",Setpoint
"gen-6145-1","SAN ANTONI~5-1","Unknown",Setpoint
"gen-6146-1","SAN ANTONI~6-1","Unknown",Setpoint
"gen-6147-1","SAN ANTONI~7-1","Unknown",Setpoint
"gen-6148-1","SAN ANTONI~8-1","Unknown",Setpoint
"gen-6149-1","SAN ANTONI~9-1","Unknown",Setpoint
"gen-6164-1","SEGUIN 1 3-1","Unknown",Setpoint
"gen-6165-1","SEGUIN 1 4-1","Unknown",Setpoint
"gen-6166-1","SEGUIN 1 5-1","Unknown",Setpoint
"gen-6167-1","SEGUIN 1 6-1","Unknown",Setpoint
"gen-6213-1","MARBLE FAL~7-1","Unknown",Setpoint
"gen-6214-1","MARBLE FAL~8-1","Unknown",Setpoint
"gen-6215-1","MARBLE FAL~9-1","Unknown",Setpoint
"gen-6216-1","MARBLE FA~10-1","Unknown",Setpoint
"gen-6242-1","ELMENDORF 3-1","Unknown",Setpoint
"gen-6243-1","ELMENDORF 4-1","Unknown",Setpoint
"gen-6244-1","ELMENDORF 5-1","Unknown",Setpoint
"gen-6245-1","ELMENDORF 6-1","Unknown",Setpoint
"gen-6246-1","ELMENDORF 7-1","Unknown",Setpoint
"gen-6247-1","ELMENDORF 8-1","Unknown",Setpoint
"gen-6248-1","ELMENDORF 9-1","Unknown",Setpoint
"gen-6249-1","ELMENDORF 10-1","Unknown",Setpoint
"gen-6257-1","AUSTIN 2 3-1","Unknown",Setpoint
"gen-6258-1","AUSTIN 2 4-1","Unknown",Setpoint
"gen-6259-1","AUSTIN 2 5-1","Unknown",Setpoint
"gen-6260-1","AUSTIN 2 6-1","Unknown",Setpoint
"gen-6266-1","CUERO 1 1-1","Unknown",Setpoint
"gen-6267-1","CUERO 1 2-1","Unknown",Setpoint
"gen-6268-1","CUERO 1 3-1","Unknown",Setpoint
"gen-6269-1","CUERO 1 4-1","Unknown",Setpoint
"gen-6270-1","CUERO 1 5-1","Unknown",Setpoint
"gen-6271-1","CUERO 1 6-1","Unknown",Setpoint
"gen-6272-1","CUERO 1 7-1","Unknown",Setpoint
"gen-6273-1","CUERO 1 8-1","Unknown",Setpoint
"gen-6274-1","CUERO 1 9-1","Unknown",Setpoint
"gen-6295-1","CEDAR CREE~4-1","Unknown",Setpoint
"gen-6296-1","CEDAR CREE~5-1","Unknown",Setpoint
"gen-6297-1","CEDAR CREE~6-1","Unknown",Setpoint
"gen-6301-1","NEW BRAUNF~4-1","Unknown",Setpoint
"gen-6302-1","NEW BRAUNF~5-1","Unknown",Setpoint
"gen-6303-1","NEW BRAUNF~6-1","Unknown",Setpoint
"gen-6304-1","NEW BRAUNF~7-1","Unknown",Setpoint
"gen-6305-1","NEW BRAUNF~8-1","Unknown",Setpoint
"gen-6349-1","AUSTIN 1 0-1","Unknown",Setpoint
"gen-6349-10","AUSTIN 1 0-10","Unknown",Setpoint
"gen-6349-11","AUSTIN 1 0-11","Unknown",Setpoint
"gen-6349-2","AUSTIN 1 0-2","Unknown",Setpoint
"gen-6349-3","AUSTIN 1 0-3","Unknown",Setpoint
"gen-6349-4","AUSTIN 1 0-4","Unknown",Setpoint
"gen-6349-5","AUSTIN 1 0-5","Unknown",Setpoint
"gen-6349-6","AUSTIN 1 0-6","Unknown",Setpoint
"gen-6349-7","AUSTIN 1 0-7","Unknown",Setpoint
"gen-6349-8","AUSTIN 1 0-8","Unknown",Setpoint
"gen-6349-9","AUSTIN 1 0-9","Unknown",Setpoint
"gen-7005-1","PASADENA 2 3-1","Unknown",Setpoint
"gen-7006-1","PASADENA 2 4-1","Unknown",Setpoint
"gen-7007-1","PASADENA 2 5-1","Unknown",Setpoint
"gen-7008-1","PASADENA 2 6-1","Unknown",Setpoint
"gen-7009-1","PASADENA 2 7-1","Unknown",Setpoint
"gen-7015-1","HOUSTON 1 1-1","Unknown",Setpoint
"gen-7021-1","NURSERY 3-1","Unknown",Setpoint
"gen-7022-1","NURSERY 4-1","Unknown",Setpoint
"gen-7023-1","NURSERY 5-1","Unknown",Setpoint
"gen-7024-1","NURSERY 6-1","Unknown",Setpoint
"gen-7025-1","NURSERY 7-1","Unknown",Setpoint
"gen-7031-1","PORT LAVAC~3-1","Unknown",Setpoint
"gen-7032-1","PORT LAVAC~4-1","Unknown",Setpoint
"gen-7033-1","PORT LAVAC~5-1","Unknown",Setpoint
"gen-7034-1","PORT LAVAC~6-1","Unknown",Setpoint
"gen-7045-1","VICTORIA 2 3-1","Unknown",Setpoint
"gen-7046-1","VICTORIA 2 4-1","Unknown",Setpoint
"gen-7061-1","POINT COMF~7-1","Unknown",Setpoint
"gen-7062-1","POINT COMF~8-1","Unknown",Setpoint
"gen-7063-1","POINT COMF~9-1","Unknown",Setpoint
"gen-7064-1","POINT COM~10-1","Unknown",Setpoint
"gen-7065-1","POINT COM~11-1","Unknown",Setpoint
"gen-7066-1","POINT COM~12-1","Unknown",Setpoint
"gen-7079-1","BAYTOWN 2 3-1","Unknown",Setpoint
"gen-7080-1","BAYTOWN 2 4-1","Unknown",Setpoint
"gen-7081-1","BAYTOWN 2 5-1","Unknown",Setpoint
"gen-7082-1","BAYTOWN 2 6-1","Unknown",Setpoint
"gen-7098-1","WADSWORTH 3-1","Unknown",Setpoint
"gen-7099-1","WADSWORTH 4-1","Unknown",Setpoint
"gen-7107-1","DEER PARK 3-1","Unknown",Setpoint
"gen-7108-1","DEER PARK 4-1","Unknown",Setpoint
"gen-7109-1","DEER PARK 5-1","Unknown",Setpoint
"gen-7110-1","DEER PARK 6-1","Unknown",Setpoint
"gen-7111-1","DEER PARK 7-1","Unknown",Setpoint
"gen-7112-1","DEER PARK 8-1","Unknown",Setpoint
"gen-7113-1","DEER PARK 9-1","Unknown",Setpoint
"gen-7114-1","DEER PARK 10-1","Unknown",Setpoint
"gen-7115-1","DEER PARK 11-1","Unknown",Setpoint
"gen-7121-1","HOUSTON 3 1-1","Unknown",Setpoint
"gen-7122-1","HOUSTON 3 2-1","Unknown",Setpoint
"gen-7133-1","LAPORTE 3-1","Unknown",Setpoint
"gen-7134-1","LAPORTE 4-1","Unknown",Setpoint
"gen-7135-1","LAPORTE 5-1","Unknown",Setpoint
"gen-7136-1","LAPORTE 6-1","Unknown",Setpoint
"gen-7137-1","LAPORTE 7-1","Unknown",Setpoint
"gen-7138-1","LAPORTE 8-1","Unknown",Setpoint
"gen-7139-1","LAPORTE 9-1","Unknown",Setpoint
"gen-7140-1","LAPORTE 10-1","Unknown",Setpoint
"gen-7141-1","LAPORTE 11-1","Unknown",Setpoint
"gen-7142-1","LAPORTE 12-1","Unknown",Setpoint
"gen-7146-1","HOUSTON 2 1-1","Unknown",Setpoint
"gen-7162-1","HOUSTON 5 3-1","Unknown",Setpoint
"gen-7163-1","HOUSTON 5 4-1","Unknown",Setpoint
"gen-7164-1","HOUSTON 5 5-1","Unknown",Setpoint
"gen-7165-1","HOUSTON 5 6-1","Unknown",Setpoint
"gen-7166-1","HOUSTON 5 7-1","Unknown",Setpoint
"gen-7167-1","HOUSTON 5 8-1","Unknown",Setpoint
"gen-7168-1","HOUSTON 5 9-1","Unknown",Setpoint
"gen-7169-1","HOUSTON 5 10-1","Unknown",Setpoint
"gen-7170-1","HOUSTON 5 11-1","Unknown",Setpoint
"gen-7189-1","HOUSTON 4 3-1","Unknown",Setpoint
"gen-7190-1","HOUSTON 4 4-1","Unknown",Setpoint
"gen-7191-1","HOUSTON 4 5-1","Unknown",Setpoint
"gen-7192-1","HOUSTON 4 6-1","Unknown",Setpoint
"gen-7193-1","HOUSTON 4 7-1","Unknown",Setpoint
"gen-7194-1","HOUSTON 4 8-1","Unknown",Setpoint
"gen-7195-1","HOUSTON 4 9-1","Unknown",Setpoint
"gen-7196-1","HOUSTON 4 10-1","Unknown",Setpoint
"gen-7197-1","HOUSTON 4 11-1","Unknown",Setpoint
"gen-7207-1","BAYTOWN 1 3-1","Unknown",Setpoint
"gen-7208-1","BAYTOWN 1 4-1","Unknown",Setpoint
"gen-7209-1","BAYTOWN 1 5-1","Unknown",Setpoint
"gen-7210-1","BAYTOWN 1 6-1","Unknown",Setpoint
"gen-7211-1","BAYTOWN 1 7-1","Unknown",Setpoint
"gen-7212-1","BAYTOWN 1 8-1","Unknown",Setpoint
"gen-7266-1","PASADENA 3 3-1","Unknown",Setpoint
"gen-7267-1","PASADENA 3 4-1","Unknown",Setpoint
"gen-7268-1","PASADENA 3 5-1","Unknown",Setpoint
"gen-7269-1","PASADENA 3 6-1","Unknown",Setpoint
"gen-7270-1","PASADENA 3 7-1","Unknown",Setpoint
"gen-7280-1","MONT BELVI~3-1","Unknown",Setpoint
"gen-7281-1","MONT BELVI~4-1","Unknown",Setpoint
