ID,Name,NominalKV,Substation,Organization,ControlArea,FrequencySourcePriority
2099,"RALLS 1 3",18,RALLS,1_org,2_ca,0
2100,"RALLS 1 4",18,RALLS,1_org,2_ca,0
2101,"SHERMAN 1 0",500,SHERMAN,1_org,2_ca,0
2102,"SHERMAN 1 1",161,SHERMAN,1_org,2_ca,0
2103,"SHERMAN 1 2",20,SHERMAN,1_org,2_ca,0
2104,"SHERMAN 1 3",20,SHERMAN,1_org,2_ca,0
2105,"SHERMAN 1 4",20,SHERMAN,1_org,2_ca,0
2106,WHITEWRIGH~1,161,WHITEWRIGHT,1_org,2_ca,0
2107,"SHERMAN 2 0",161,SHERMAN,1_org,2_ca,0
2108,"ROCHESTER 0",161,ROCHESTER,1_org,2_ca,0
2109,BURKBURNET~1,161,BURKBURNETT,1_org,2_ca,0
2110,"MUENSTER 2 0",161,MUENSTER,1_org,2_ca,0
2111,"ARCHER CIT~1",161,"ARCHER CITY",1_org,2_ca,0
2112,"PETROLIA 0",161,PETROLIA,1_org,2_ca,0
2113,"PARIS 1 0",500,PARIS,1_org,2_ca,0
2114,"PARIS 1 1",161,PARIS,1_org,2_ca,0
2115,"PARIS 1 2",13.8,PARIS,1_org,2_ca,0
2116,"PARIS 1 3",13.8,PARIS,1_org,2_ca,0
2117,"PARIS 1 4",13.8,PARIS,1_org,2_ca,0
2118,"PARIS 1 5",13.8,PARIS,1_org,2_ca,0
2119,"PARIS 1 6",13.8,PARIS,1_org,2_ca,0
2120,"PARIS 1 7",13.8,PARIS,1_org,2_ca,0
2121,"BAGWELL 0",161,BAGWELL,1_org,2_ca,0
2122,"TELEPHONE 0",161,TELEPHONE,1_org,2_ca,0
2123,"PANHANDLE ~1",161,PANHANDLE,1_org,2_ca,0
2124,"VAN ALSTYN~1",161,"VAN ALSTYNE",1_org,2_ca,0
2125,"TIOGA 0",161,TIOGA,1_org,2_ca,0
2126,"VALLEY VIE~1",161,"VALLEY MILLS",1_org,2_ca,0
2127,"MIAMI 0",500,MIAMI,1_org,2_ca,0
2128,"MIAMI 1",161,MIAMI,1_org,2_ca,0
2129,"TRENTON 0",161,TRENTON,1_org,2_ca,0
2130,"HASKELL 0",161,HASKELL,1_org,2_ca,0
2131,"HASKELL 1",115,HASKELL,1_org,2_ca,0
2132,"HASKELL 2",115,HASKELL,1_org,2_ca,0
2133,"SAINT JO 0",161,"SAINT JO",1_org,2_ca,0
3001,"KERRVILLE 0",230,KERRVILLE,1_org,3_ca,0
3002,"KERRVILLE 1",115,KERRVILLE,1_org,3_ca,0
3003,SWEETWATER~4,115,SWEETWATER,1_org,3_ca,0
3004,SWEETWATER~5,18,SWEETWATER,1_org,3_ca,0
3005,"LEAKEY 0",115,LEAKEY,1_org,3_ca,0
3006,"HAMLIN 0",115,HAMILTON,1_org,3_ca,0
3007,"MERKEL 3 0",115,MERKEL,1_org,3_ca,0
3008,"COLEMAN 0",115,COLEMAN,1_org,3_ca,0
3009,"SONORA 0",115,SONORA,1_org,3_ca,0
3010,"CAMP WOOD 0",115,"CAMP WOOD",1_org,3_ca,0
3011,"LLANO 0",115,LLANO,1_org,3_ca,0
3012,"WILLOW CIT~1",115,"WILLOW CITY",1_org,3_ca,0
3013,"ABILENE 4 0",115,ABILENE,1_org,3_ca,0
3014,"KINGSLAND 0",115,KINGSLAND,1_org,3_ca,0
3015,"ROSCOE 6 0",115,ROSCOE,1_org,3_ca,0
3016,"BLACKWELL 0",115,BLACKWELL,1_org,3_ca,0
3017,"BLACKWELL 1",18,BLACKWELL,1_org,3_ca,0
3018,"CHRISTOVAL 0",230,CHRISTOVAL,1_org,3_ca,0
3019,"CHRISTOVAL 1",115,CHRISTOVAL,1_org,3_ca,0
3020,"CHRISTOVAL 2",13.8,CHRISTOVAL,1_org,3_ca,0
3021,"LUEDERS 0",115,LUEDERS,1_org,3_ca,0
3022,"COLORADO C~1",115,"COLORADO CITY",1_org,3_ca,0
3023,"STAMFORD 0",115,STAMFORD,1_org,3_ca,0
3024,"ELDORADO 0",115,ELDORADO,1_org,3_ca,0
3025,"SAN SABA 0",115,"SAN SABA",1_org,3_ca,0
3026,"ABILENE 2 0",230,ABILENE,1_org,3_ca,0
3027,"ABILENE 2 1",115,ABILENE,1_org,3_ca,0
3028,"ABILENE 2 2",18,ABILENE,1_org,3_ca,0
3029,"LOMETA 0",115,LOMETA,1_org,3_ca,0
3030,"SAN ANGELO~1",115,"SAN ANGELO",1_org,3_ca,0
3031,"TUSCOLA 0",115,TUSCOLA,1_org,3_ca,0
3032,"ABILENE 7 0",115,ABILENE,1_org,3_ca,0
3033,"SNYDER 1 0",115,SNYDER,1_org,3_ca,0
3034,"SNYDER 1 1",22,SNYDER,1_org,3_ca,0
3035,"CHEROKEE 0",115,CHEROKEE,1_org,3_ca,0
3036,"RICHLAND S~1",115,"RICHLAND SPRINGS",1_org,3_ca,0
3037,"ROSCOE 2 0",230,ROSCOE,1_org,3_ca,0
3038,"ROSCOE 2 1",115,ROSCOE,1_org,3_ca,0
3039,"ROSCOE 2 2",13.8,ROSCOE,1_org,3_ca,0
3040,"BALLINGER 0",115,BALLINGER,1_org,3_ca,0
3041,"SILVER 0",230,SILVER,1_org,3_ca,0
3042,"SILVER 1",115,SILVER,1_org,3_ca,0
3043,"SILVER 2",13.8,SILVER,1_org,3_ca,0
3044,"SILVER 3",13.8,SILVER,1_org,3_ca,0
3045,"SILVER 4",13.8,SILVER,1_org,3_ca,0
3046,"ROSCOE 5 0",230,ROSCOE,1_org,3_ca,0
3047,"ROSCOE 5 1",115,ROSCOE,1_org,3_ca,0
3048,"ROSCOE 5 2",500,ROSCOE,1_org,3_ca,0
3049,"ANSON 0",115,ANSON,1_org,3_ca,0
3050,"DEL RIO 0",230,"DEL RIO",1_org,3_ca,0
3051,"DEL RIO 1",115,"DEL RIO",1_org,3_ca,0
3052,"HUNT 0",115,HUNT,1_org,3_ca,0
3053,"WINGATE 0",230,WINGATE,1_org,3_ca,0
3054,"WINGATE 1",115,WINGATE,1_org,3_ca,0
3055,"WINGATE 2",13.8,WINGATE,1_org,3_ca,0
3056,"WINGATE 3",13.8,WINGATE,1_org,3_ca,0
3057,"WINGATE 4",13.8,WINGATE,1_org,3_ca,0
3058,"STERLING C~1",230,"STERLING CITY",1_org,3_ca,0
3059,"STERLING C~2",115,"STERLING CITY",1_org,3_ca,0
3060,"STERLING C~3",18,"STERLING CITY",1_org,3_ca,0
3061,"STERLING C~4",18,"STERLING CITY",1_org,3_ca,0
3062,"STERLING C~5",18,"STERLING CITY",1_org,3_ca,0
3063,"STERLING C~6",18,"STERLING CITY",1_org,3_ca,0
3064,"ROSCOE 4 0",115,ROSCOE,1_org,3_ca,0
3065,"ROSCOE 4 1",18,ROSCOE,1_org,3_ca,0
3066,"BRADY 0",115,BRADY,1_org,3_ca,0
3067,"TRENT 1 0",115,TRENT,1_org,3_ca,0
3068,"TRENT 1 1",20,TRENT,1_org,3_ca,0
3069,"OVALO 0",115,OVALO,1_org,3_ca,0
3070,"NOLAN 0",115,NOLAN,1_org,3_ca,0
3071,"NOLAN 1",24,NOLAN,1_org,3_ca,0
3072,"MILES 0",115,MILES,1_org,3_ca,0
3073,BRACKETTVI~3,115,BRACKETTVILLE,1_org,3_ca,0
3074,BRACKETTVI~4,13.8,BRACKETTVILLE,1_org,3_ca,0
3075,"MASON 0",115,MASON,1_org,3_ca,0
3076,BRACKETTVI~5,115,BRACKETTVILLE,1_org,3_ca,0
3077,"ABILENE 6 0",115,ABILENE,1_org,3_ca,0
3078,"HERMLEIGH 0",230,HERMLEIGH,1_org,3_ca,0
3079,"HERMLEIGH 1",161,HERMLEIGH,1_org,3_ca,0
3080,"HERMLEIGH 2",115,HERMLEIGH,1_org,3_ca,0
3081,"HERMLEIGH 3",20,HERMLEIGH,1_org,3_ca,0
3082,"MERKEL 1 0",230,MERKEL,1_org,3_ca,0
3083,"MERKEL 1 1",115,MERKEL,1_org,3_ca,0
3084,"MERKEL 1 2",13.8,MERKEL,1_org,3_ca,0
3085,"LORAINE 1 0",115,LORAINE,1_org,3_ca,0
3086,"LORAINE 1 1",13.2,LORAINE,1_org,3_ca,0
3087,"LORAINE 1 2",13.2,LORAINE,1_org,3_ca,0
3088,"ABILENE 1 0",230,ABILENE,1_org,3_ca,0
3089,"ABILENE 1 1",161,ABILENE,1_org,3_ca,0
3090,"ABILENE 1 2",161,ABILENE,1_org,3_ca,0
3091,"ABILENE 1 3",115,ABILENE,1_org,3_ca,0
3092,"ABILENE 1 4",13.8,ABILENE,1_org,3_ca,0
3093,ROCKSPRING~1,115,ROCKSPRINGS,1_org,3_ca,0
3094,"MERKEL 2 0",115,MERKEL,1_org,3_ca,0
3095,"MERKEL 2 1",18,MERKEL,1_org,3_ca,0
3096,"FLUVANNA 2 0",230,FLUVANNA,1_org,3_ca,0
3097,"FLUVANNA 2 1",115,FLUVANNA,1_org,3_ca,0
3098,"FLUVANNA 2 2",13.8,FLUVANNA,1_org,3_ca,0
3099,"DYESS AFB 0",115,"DYESS AFB",1_org,3_ca,0
3100,"HAWLEY 0",115,HAWLEY,1_org,3_ca,0
3101,"BUCHANAN D~4",115,"BUCHANAN DAM",1_org,3_ca,0
3102,"ABILENE 3 0",115,ABILENE,1_org,3_ca,0
3103,SWEETWATER~6,115,SWEETWATER,1_org,3_ca,0
3104,"BUCHANAN D~1",115,"BUCHANAN DAM",1_org,3_ca,0
3105,"BUCHANAN D~2",13.2,"BUCHANAN DAM",1_org,3_ca,0
3106,"BUCHANAN D~3",13.2,"BUCHANAN DAM",1_org,3_ca,0
3107,"INGRAM 0",115,INGRAM,1_org,3_ca,0
3108,"KEMPNER 0",115,KEMPNER,1_org,3_ca,0
3109,"FLUVANNA 1 0",115,FLUVANNA,1_org,3_ca,0
3110,"FLUVANNA 1 1",13.8,FLUVANNA,1_org,3_ca,0
3111,"STERLING C~7",115,"STERLING CITY",1_org,3_ca,0
3112,"STERLING C~8",18,"STERLING CITY",1_org,3_ca,0
3113,"STERLING C~9",18,"STERLING CITY",1_org,3_ca,0
3114,"SAN ANGELO~2",115,"SAN ANGELO",1_org,3_ca,0
3115,"ROTAN 0",115,ROTAN,1_org,3_ca,0
3116,"SYNDER 0",115,SNYDER,1_org,3_ca,0
3117,"SYNDER 1",13.8,SNYDER,1_org,3_ca,0
3118,"SYNDER 2",13.8,SNYDER,1_org,3_ca,0
3119,BRACKETTVI~1,115,BRACKETTVILLE,1_org,3_ca,0
3120,BRACKETTVI~2,13.8,BRACKETTVILLE,1_org,3_ca,0
3121,"ROSCOE 1 0",115,ROSCOE,1_org,3_ca,0
3122,"ROSCOE 1 1",18,ROSCOE,1_org,3_ca,0
3123,"UVALDE 0",115,UVALDE,1_org,3_ca,0
3124,FREDERICKS~1,115,FREDERICKSBURG,1_org,3_ca,0
3125,"ABILENE 5 0",115,ABILENE,1_org,3_ca,0
3126,"SABINAL 0",115,SABINAL,1_org,3_ca,0
3127,SWEETWATER~2,115,SWEETWATER,1_org,3_ca,0
3128,"LORAINE 2 0",115,LORAINE,1_org,3_ca,0
3129,"ROSCOE 3 0",115,ROSCOE,1_org,3_ca,0
3130,"SAN ANGELO~3",115,"SAN ANGELO",1_org,3_ca,0
3131,"TUSOCOLA 0",115,TUSCOLA,1_org,3_ca,0
3132,"EDEN 0",115,EDEN,1_org,3_ca,0
3133,"SNYDER 2 0",230,SNYDER,1_org,3_ca,0
3134,"SNYDER 2 1",161,SNYDER,1_org,3_ca,0
3135,"SNYDER 2 2",161,SNYDER,1_org,3_ca,0
3136,"SNYDER 2 3",115,SNYDER,1_org,3_ca,0
3137,SWEETWATER~1,115,SWEETWATER,1_org,3_ca,0
3138,"MENARD 0",115,MENARD,1_org,3_ca,0
3139,"WINTERS 0",115,WINTERS,1_org,3_ca,0
3140,"GOLDSBORO 0",115,GOLDSBORO,1_org,3_ca,0
3141,SWEETWATER~3,115,SWEETWATER,1_org,3_ca,0
3142,GOODFELLOW~1,115,"GOODFELLOW AFB",1_org,3_ca,0
3143,"SANTA ANNA 0",115,"SANTA ANNA",1_org,3_ca,0
3144,"ROWENA 0",115,ROWENA,1_org,3_ca,0
3145,"TRENT 2 0",115,TRENT,1_org,3_ca,0
3146,"JUNCTION 0",115,JUNCTION,1_org,3_ca,0
3147,"LAMPASAS 0",115,LAMPASAS,1_org,3_ca,0
4002,"LAUGHLIN A~1",115,"LAUGHLIN A F B",1_org,4_ca,0
4003,"EDINBURG 3 0",115,EDINBURG,1_org,4_ca,0
4004,"LAREDO 7 0",230,LAREDO,1_org,4_ca,0
4005,"LAREDO 7 1",115,LAREDO,1_org,4_ca,0
4006,"BRUNI 2 0",115,BRUNI,1_org,4_ca,0
4007,"MCALLEN 2 0",115,MCALLEN,1_org,4_ca,0
4008,"POTEET 0",115,POTEET,1_org,4_ca,0
4009,"SARITA 3 0",115,SARITA,1_org,4_ca,0
4010,"SARITA 3 1",20,SARITA,1_org,4_ca,0
4011,HEBBRONVIL~1,115,HEBBRONVILLE,1_org,4_ca,0
4012,"PROGRESO 0",115,PROGRESO,1_org,4_ca,0
4013,"EDINBURG 2 0",115,EDINBURG,1_org,4_ca,0
4014,"EAGLE PASS 0",230,"EAGLE PASS",1_org,4_ca,0
4015,"EAGLE PASS 1",115,"EAGLE PASS",1_org,4_ca,0
4016,"CHARLOTTE 0",115,CHARLOTTE,1_org,4_ca,0
4017,"CORPUS CH~24",115,"CORPUS CHRISTI",1_org,4_ca,0
4018,"WOODSBORO 0",115,WOODSBORO,1_org,4_ca,0
4019,"MERCEDES 0",115,MERCEDES,1_org,4_ca,0
4020,"CORPUS CH~13",115,"CORPUS CHRISTI",1_org,4_ca,0
4021,"EDCOUCH 0",115,EDCOUCH,1_org,4_ca,0
4022,"ENCINAL 0",115,ENCINAL,1_org,4_ca,0
4023,"MOORE 0",115,MOORE,1_org,4_ca,0
4024,"CHRISTINE 0",230,CHRISTINE,1_org,4_ca,0
4025,"CHRISTINE 1",115,CHRISTINE,1_org,4_ca,0
4026,"CHRISTINE 2",13.8,CHRISTINE,1_org,4_ca,0
4027,"MCALLEN 3 0",115,MCALLEN,1_org,4_ca,0
4028,"FANNIN 0",230,FANNIN,1_org,4_ca,0
4029,"FANNIN 1",115,FANNIN,1_org,4_ca,0
4030,"FANNIN 2",13.8,FANNIN,1_org,4_ca,0
4031,"SAN YGNACI~1",115,"SAN YGNACIO",1_org,4_ca,0
4032,"KINGSVILLE 0",115,KINGSLAND,1_org,4_ca,0
4033,"LAREDO 6 0",115,LAREDO,1_org,4_ca,0
4034,"HIDALGO 0",115,HIDALGO,1_org,4_ca,0
4035,"CORPUS CH~15",115,"CORPUS CHRISTI",1_org,4_ca,0
4036,"CRYSTAL CI~1",115,"CRYSTAL CITY",1_org,4_ca,0
