"ID","Name","Node1","Node2","R","X","Bch","NormalOperatingLimit","ShortTermLimit","EmergencyLimit"
"ln-1019-1071-2","MIDLAND 4 0-ODESSA 1 0","1019","1071",0.0044,0.028,0.0054,225.0,0.0,0.0
"ln-1019-1084-1","MIDLAND 4 0-BIG SPRING~3","1019","1084",0.03,0.16,0.025,220.0,0.0,0.0
"ln-1020-1025-1","BIG SPRING~1-BIG SPRIN~14","1020","1025",0.00828,0.03434,0.00583,149.0,0.0,0.0
"ln-1020-1084-1","BIG SPRING~1-BIG SPRING~3","1020","1084",0.01056,0.06337,0.0086,221.0,0.0,0.0
"ln-1020-3059-1","BIG SPRING~1-STERLING C~2","1020","3059",0.0189,0.06,0.006,300.0,0.0,0.0
"ln-1020-3130-1","BIG SPRING~1-SAN ANGELO~3","1020","3130",0.00996,0.06938,0.01134,221.0,0.0,0.0
"ln-1022-1028-1","O DONNELL ~3-COAHOMA 0","1022","1028",0.01433,0.09253,0.01765,221.0,0.0,0.0
"ln-1022-1028-2","O DONNELL ~3-COAHOMA 0","1022","1028",0.01433,0.09253,0.01765,221.0,0.0,0.0
"ln-1024-1090-1","ODESSA 6 0-GOLDSMITH 0","1024","1090",0.01414,0.06303,0.00924,149.0,0.0,0.0
"ln-1027-1045-1","MIDLAND 2 0-MIDLAND 5 0","1027","1045",0.02505,0.10957,0.01669,221.0,0.0,0.0
"ln-1027-1056-1","MIDLAND 2 0-LENORAH 0","1027","1056",0.03121,0.0763,0.00999,250.0,0.0,0.0
"ln-1028-3109-1","COAHOMA 0-FLUVANNA 1 0","1028","3109",0.00428,0.01875,0.00286,250.0,0.0,0.0
"ln-1029-1056-1","MIDLAND 3 0-LENORAH 0","1029","1056",0.02054,0.11733,0.01763,221.0,0.0,0.0
"ln-1030-1038-1","ALPINE 0-FORT STOCK~1","1030","1038",0.07404,0.42285,0.06354,98.0,0.0,0.0
"ln-1030-1083-1","ALPINE 0-FORT STOCK~4","1030","1083",0.06537,0.37334,0.0561,98.0,0.0,0.0
"ln-1032-1036-1","MCCAMEY 1 0-CRANE 0","1032","1036",0.01956,0.11746,0.01594,98.0,0.0,0.0
"ln-1032-1038-1","MCCAMEY 1 0-FORT STOCK~1","1032","1038",0.045,0.11,0.015,155.0,0.0,0.0
"ln-1033-1081-1","MCCAMEY 1 1-ODESSA 1 10","1033","1081",0.003,0.031,0.059,548.0,0.0,0.0
"ln-1033-3050-1","MCCAMEY 1 1-DEL RIO 0","1033","3050",0.0139,0.136,0.262,647.0,0.0,0.0
"ln-1034-1067-1","BIG SPRING~6-BIG SPRIN~13","1034","1067",0.00795,0.04771,0.00647,98.0,0.0,0.0
"ln-1036-1088-1","CRANE 0-MCCAMEY 2 0","1036","1088",0.02065,0.11793,0.01772,98.0,0.0,0.0
"ln-1037-1071-1","ODESSA 5 0-ODESSA 1 0","1037","1071",0.00669,0.04319,0.00824,300.0,0.0,0.0
"ln-1038-1082-1","FORT STOCK~1-FORT STOCK~3","1038","1082",0.01115,0.04969,0.00729,149.0,0.0,0.0
"ln-1038-1083-1","FORT STOCK~1-FORT STOCK~4","1038","1083",0.01,0.05,0.007,221.0,0.0,0.0
"ln-1040-1090-1","ANDREWS 0-GOLDSMITH 0","1040","1090",0.02991,0.13329,0.01955,149.0,0.0,0.0
"ln-1041-1065-1","FORSAN 0-BIG SPRING~4","1041","1065",0.00386,0.02203,0.00331,98.0,0.0,0.0
"ln-1041-1067-1","FORSAN 0-BIG SPRIN~13","1041","1067",0.00393,0.01722,0.00262,149.0,0.0,0.0
"ln-1041-1067-2","FORSAN 0-BIG SPRIN~13","1041","1067",0.00393,0.01722,0.00262,149.0,0.0,0.0
"ln-1044-3019-1","BIG LAKE 0-CHRISTOVAL 1","1044","3019",0.03857,0.17192,0.02521,149.0,0.0,0.0
"ln-1044-3130-1","BIG LAKE 0-SAN ANGELO~3","1044","3130",0.02731,0.19029,0.03111,221.0,0.0,0.0
"ln-1045-1064-1","MIDLAND 5 0-ODESSA 3 0","1045","1064",0.00545,0.03794,0.0062,221.0,0.0,0.0
"ln-1046-1087-1","OZONA 0-SHEFFIELD 0","1046","1087",0.03262,0.14269,0.02173,149.0,0.0,0.0
"ln-1046-3009-1","OZONA 0-SONORA 0","1046","3009",0.05654,0.23454,0.0398,149.0,0.0,0.0
"ln-1047-1085-1","MONAHANS 1 0-KERMIT 0","1047","1085",0.00947,0.06117,0.01167,221.0,0.0,0.0
"ln-1053-1081-1","MONAHANS 1 6-ODESSA 1 10","1053","1081",0.003,0.03,0.06,548.0,0.0,0.0
"ln-1054-1056-1","STANTON 0-LENORAH 0","1054","1056",0.02202,0.09633,0.01467,149.0,0.0,0.0
"ln-1054-1089-1","STANTON 0-LAMESA 0","1054","1089",0.08737,0.21357,0.02796,98.0,0.0,0.0
"ln-1055-1089-1","ODONNELL 0-LAMESA 0","1055","1089",0.04982,0.12179,0.01595,98.0,0.0,0.0
"ln-1056-1061-1","LENORAH 0-BIG SPRIN~10","1056","1061",0.02267,0.12946,0.01945,150.0,0.0,0.0
"ln-1056-1065-1","LENORAH 0-BIG SPRING~4","1056","1065",0.02269,0.12962,0.01948,250.0,0.0,0.0
"ln-1058-1069-1","IRAAN 3 0-IRAAN 1 0","1058","1069",0.0074,0.05155,0.00843,221.0,0.0,0.0
"ln-1058-1069-2","IRAAN 3 0-IRAAN 1 0","1058","1069",0.0074,0.05155,0.00843,221.0,0.0,0.0
"ln-1058-1087-1","IRAAN 3 0-SHEFFIELD 0","1058","1087",0.01573,0.10956,0.01791,221.0,0.0,0.0
"ln-1058-1087-2","IRAAN 3 0-SHEFFIELD 0","1058","1087",0.01573,0.10956,0.01791,221.0,0.0,0.0
"ln-1061-3042-1","BIG SPRIN~10-SILVER 1","1061","3042",0.054,0.18,0.028,221.0,0.0,0.0
"ln-1068-1088-1","MIDLAND 1 0-MCCAMEY 2 0","1068","1088",0.02962,0.16921,0.02543,98.0,0.0,0.0
"ln-1069-1082-1","IRAAN 1 0-FORT STOCK~3","1069","1082",0.02137,0.0952,0.01396,149.0,0.0,0.0
"ln-1079-3048-1","ODESSA 1 8-ROSCOE 5 2","1079","3048",0.0013,0.015,1.02,2300.0,0.0,0.0
"ln-1079-3048-2","ODESSA 1 8-ROSCOE 5 2","1079","3048",0.0013,0.015,1.02,2300.0,0.0,0.0
"ln-1081-3058-1","ODESSA 1 10-STERLING C~1","1081","3058",0.0091,0.089,0.171,548.0,0.0,0.0
"ln-1084-3130-1","BIG SPRING~3-SAN ANGELO~3","1084","3130",0.02049,0.09131,0.01339,221.0,0.0,0.0
"ln-1085-1086-1","KERMIT 0-PECOS 0","1085","1086",0.03392,0.14838,0.0226,149.0,0.0,0.0
"ln-1085-1090-1","KERMIT 0-GOLDSMITH 0","1085","1090",0.02018,0.13786,0.02346,221.0,0.0,0.0
"ln-1091-2029-1","RALLS 2 0-SILVERTON 0","1091","2029",0.0389,0.17144,0.0798,187.0,0.0,0.0
"ln-1091-2048-1","RALLS 2 0-CROSBYTON 0","1091","2048",0.02193,0.09667,0.045,187.0,0.0,0.0
"ln-1091-2098-1","RALLS 2 0-RALLS 1 2","1091","2098",0.00554,0.02443,0.01137,187.0,0.0,0.0
"ln-2001-2022-1","PARIS 3 0-PARIS 2 1","2001","2022",0.00839,0.03697,0.01721,187.0,0.0,0.0
"ln-2001-2027-1","PARIS 3 0-DEPORT 0","2001","2027",0.00955,0.04062,0.02032,187.0,0.0,0.0
"ln-2002-2021-1","SAVOY 0-PARIS 2 0","2002","2021",9.7E-4,0.01175,0.78032,2295.0,0.0,0.0
"ln-2002-2101-1","SAVOY 0-SHERMAN 1 0","2002","2101",3.1E-4,0.0037,0.24573,2020.0,0.0,0.0
"ln-2003-2038-1","SAVOY 1-ECTOR 0","2003","2038",0.00353,0.02067,0.01032,251.0,0.0,0.0
"ln-2003-2047-1","SAVOY 1-BELLS 0","2003","2047",0.0013,0.0099,0.0052,310.0,0.0,0.0
"ln-2007-2114-1","HONEY GROV~1-PARIS 1 1","2007","2114",0.00888,0.05207,0.026,251.0,0.0,0.0
"ln-2007-2122-1","HONEY GROV~1-TELEPHONE 0","2007","2122",0.00861,0.03661,0.01831,187.0,0.0,0.0
"ln-2008-2014-1","MEMPHIS 0-CHILDRESS 0","2008","2014",0.02253,0.09931,0.04623,187.0,0.0,0.0
"ln-2008-2052-1","MEMPHIS 0-PANHANDLE~13","2008","2052",0.01877,0.08271,0.0385,187.0,0.0,0.0
"ln-2009-2049-1","IOWA PARK 0-ELECTRA 0","2009","2049",0.01224,0.07176,0.03583,251.0,0.0,0.0
"ln-2009-2082-1","IOWA PARK 0-WICHITA FA~5","2009","2082",0.00735,0.03126,0.01563,187.0,0.0,0.0
"ln-2009-2109-1","IOWA PARK 0-BURKBURNET~1","2009","2109",0.00725,0.03084,0.01542,250.0,0.0,0.0
"ln-2010-2061-1","VERNON 2 0-VERNON 1 0","2010","2061",0.02439,0.10748,0.05003,187.0,0.0,0.0
"ln-2010-2079-1","VERNON 2 0-PADUCAH 0","2010","2079",0.02061,0.09083,0.04228,187.0,0.0,0.0
"ln-2010-2091-1","VERNON 2 0-SEYMOUR 0","2010","2091",0.02461,0.10467,0.05235,187.0,0.0,0.0
"ln-2011-2127-1","PANHANDLE ~2-MIAMI 0","2011","2127",0.00108,0.01307,0.86827,2020.0,0.0,0.0
"ln-2012-2041-1","PANHANDLE ~3-PANHANDLE ~5","2012","2041",0.01245,0.05297,0.02649,187.0,0.0,0.0
"ln-2012-2052-1","PANHANDLE ~3-PANHANDLE~13","2012","2052",0.02008,0.08851,0.0412,187.0,0.0,0.0
"ln-2012-2093-1","PANHANDLE ~3-PANHANDLE~10","2012","2093",0.01029,0.04536,0.02111,187.0,0.0,0.0
"ln-2012-2123-1","PANHANDLE ~3-PANHANDLE ~1","2012","2123",0.00995,0.0423,0.02115,251.0,0.0,0.0
"ln-2014-2029-1","CHILDRESS 0-SILVERTON 0","2014","2029",0.01859,0.07908,0.03955,187.0,0.0,0.0
"ln-2015-2037-1","FORESTBURG 0-LINDSAY 0","2015","2037",0.00862,0.03799,0.01769,187.0,0.0,0.0
"ln-2015-5014-1","FORESTBURG 0-DECATUR 0","2015","5014",0.00961,0.04237,0.01972,187.0,0.0,0.0
"ln-2016-2043-1","SHERMAN 3 0-SADLER 0","2016","2043",0.00593,0.02614,0.01217,187.0,0.0,0.0
"ln-2016-2069-1","SHERMAN 3 0-HOWE 0","2016","2069",0.0084,0.03705,0.01725,187.0,0.0,0.0
"ln-2016-2069-2","SHERMAN 3 0-HOWE 0","2016","2069",0.0084,0.03705,0.01725,187.0,0.0,0.0
"ln-2017-2096-1","PANHANDLE ~7-RALLS 1 0","2017","2096",0.00253,0.03068,2.03836,2020.0,0.0,0.0
"ln-2017-2127-1","PANHANDLE ~7-MIAMI 0","2017","2127",8.9E-4,0.01081,0.71846,2020.0,0.0,0.0
"ln-2018-2093-1","PANHANDLE ~8-PANHANDLE~10","2018","2093",0.01163,0.05125,0.02386,187.0,0.0,0.0
"ln-2020-2045-1","WICHITA F~12-SHEPPARD A~1","2020","2045",9.7E-4,0.00548,0.00295,310.0,0.0,0.0
"ln-2020-2055-1","WICHITA F~12-WICHITA FA~2","2020","2055",0.00102,0.00744,0.00422,409.0,0.0,0.0
"ln-2021-2113-1","PARIS 2 0-PARIS 1 0","2021","2113",1.0E-4,0.00124,0.08207,2020.0,0.0,0.0
"ln-2022-2040-1","PARIS 2 1-CLARKSVILL~1","2022","2040",0.02207,0.09391,0.04697,187.0,0.0,0.0
"ln-2022-2064-1","PARIS 2 1-SUMNER 0","2022","2064",0.00558,0.03156,0.01697,251.0,0.0,0.0
"ln-2025-2055-1","WICHITA F~10-WICHITA FA~2","2025","2055",0.0023,0.01016,0.00473,187.0,0.0,0.0
"ln-2025-2067-1","WICHITA F~10-WICHITA F~11","2025","2067",0.00317,0.014,0.00651,187.0,0.0,0.0
"ln-2026-2058-1","WHEELER 0-WHITE DEER 0","2026","2058",0.02475,0.10526,0.05264,187.0,0.0,0.0
"ln-2026-2128-1","WHEELER 0-MIAMI 1","2026","2128",0.01207,0.05318,0.02475,187.0,0.0,0.0
"ln-2027-2090-1","DEPORT 0-ANNONA 0","2027","2090",0.01692,0.07455,0.0347,187.0,0.0,0.0
"ln-2028-2045-1","WICHITA FA~9-SHEPPARD A~1","2028","2045",0.00363,0.02129,0.01063,251.0,0.0,0.0
"ln-2028-2109-1","WICHITA FA~9-BURKBURNET~1","2028","2109",0.01026,0.0452,0.02104,250.0,0.0,0.0
"ln-2028-2112-1","WICHITA FA~9-PETROLIA 0","2028","2112",0.00369,0.02161,0.01079,310.0,0.0,0.0
"ln-2030-2106-1","BONHAM 0-WHITEWRIGH~1","2030","2106",0.0118,0.05199,0.0242,187.0,0.0,0.0
"ln-2030-2122-1","BONHAM 0-TELEPHONE 0","2030","2122",0.00737,0.0432,0.02157,251.0,0.0,0.0
"ln-2031-2048-1","MATADOR 0-CROSBYTON 0","2031","2048",0.02398,0.10567,0.04919,187.0,0.0,0.0
"ln-2031-2087-1","MATADOR 0-SPUR 0","2031","2087",0.02177,0.09259,0.04631,187.0,0.0,0.0
"ln-2032-2114-1","ARTHUR CIT~1-PARIS 1 1","2032","2114",0.01097,0.04834,0.0225,187.0,0.0,0.0
"ln-2032-2122-1","ARTHUR CIT~1-TELEPHONE 0","2032","2122",0.01414,0.06232,0.02901,187.0,0.0,0.0
"ln-2033-2129-1","LEONARD 0-TRENTON 0","2033","2129",0.00522,0.02298,0.0107,187.0,0.0,0.0
"ln-2033-5288-1","LEONARD 0-WOLFE CITY 0","2033","5288",0.00925,0.03935,0.01968,187.0,0.0,0.0
"ln-2034-2043-1","GORDONVILL~1-SADLER 0","2034","2043",0.00439,0.01867,0.00934,187.0,0.0,0.0
"ln-2034-2046-1","GORDONVILL~1-POTTSBORO 0","2034","2046",0.00468,0.01993,0.00997,187.0,0.0,0.0
"ln-2035-2066-1","KNOX CITY 0-ASPERMONT 0","2035","2066",0.01411,0.08272,0.04131,251.0,0.0,0.0
"ln-2035-2091-1","KNOX CITY 0-SEYMOUR 0","2035","2091",0.01863,0.10528,0.05663,251.0,0.0,0.0
"ln-2036-2055-1","WICHITA F~13-WICHITA FA~2","2036","2055",0.00216,0.0092,0.0046,300.0,0.0,0.0
"ln-2036-2082-1","WICHITA F~13-WICHITA FA~5","2036","2082",0.00236,0.01003,0.00502,250.0,0.0,0.0
"ln-2037-2065-1","LINDSAY 0-GAINESVILL~1","2037","2065",0.00415,0.02434,0.01216,251.0,0.0,0.0
"ln-2037-2110-1","LINDSAY 0-MUENSTER 2 0","2037","2110",0.00307,0.01798,0.00898,251.0,0.0,0.0
"ln-2038-2081-1","ECTOR 0-DODD CITY 0","2038","2081",0.00639,0.03748,0.01871,251.0,0.0,0.0
"ln-2039-2086-1","SUNSET 0-MONTAGUE 0","2039","2086",0.00845,0.03725,0.01734,187.0,0.0,0.0
"ln-2039-5285-1","SUNSET 0-CHICO 0","2039","5285",0.00569,0.03334,0.01665,251.0,0.0,0.0
"ln-2039-5455-1","SUNSET 0-ALVORD 0","2039","5455",0.00371,0.02173,0.01085,251.0,0.0,0.0
"ln-2040-2114-1","CLARKSVILL~1-PARIS 1 1","2040","2114",0.02335,0.09932,0.04967,187.0,0.0,0.0
"ln-2040-2121-1","CLARKSVILL~1-BAGWELL 0","2040","2121",0.00894,0.03938,0.01833,187.0,0.0,0.0
"ln-2041-2058-1","PANHANDLE ~5-WHITE DEER 0","2041","2058",0.0136,0.05786,0.02893,187.0,0.0,0.0
"ln-2044-2065-1","WHITESBORO 0-GAINESVILL~1","2044","2065",0.01021,0.04497,0.02093,187.0,0.0,0.0
"ln-2044-2102-1","WHITESBORO 0-SHERMAN 1 1","2044","2102",0.01465,0.06453,0.03004,187.0,0.0,0.0
"ln-2046-2063-1","POTTSBORO 0-DENISON 2 0","2046","2063",0.00363,0.02051,0.01103,251.0,0.0,0.0
"ln-2047-2092-1","BELLS 0-DENISON 1 0","2047","2092",0.00376,0.02203,0.011,251.0,0.0,0.0
"ln-2048-2079-1","CROSBYTON 0-PADUCAH 0","2048","2079",0.02944,0.12973,0.06039,187.0,0.0,0.0
"ln-2049-2061-1","ELECTRA 0-VERNON 1 0","2049","2061",0.00912,0.05349,0.02671,251.0,0.0,0.0
"ln-2050-2090-1","PATTONVILL~1-ANNONA 0","2050","2090",0.02377,0.10475,0.04876,187.0,0.0,0.0
"ln-2050-5268-1","PATTONVILL~1-COMMERCE 0","2050","5268",0.01273,0.05412,0.02707,187.0,0.0,0.0
"ln-2051-2080-1","HENRIETTA 0-NOCONA 0","2051","2080",0.00691,0.03904,0.021,251.0,0.0,0.0
"ln-2051-2112-1","HENRIETTA 0-PETROLIA 0","2051","2112",0.00873,0.04934,0.02654,310.0,0.0,0.0
"ln-2053-5285-1","BOWIE 0-CHICO 0","2053","5285",0.00757,0.0428,0.02302,251.0,0.0,0.0
"ln-2053-5362-1","BOWIE 0-BRIDGEPORT 1","2053","5362",0.01118,0.06552,0.03272,251.0,0.0,0.0
"ln-2054-2127-1","WICHITA FA~1-MIAMI 0","2054","2127",0.033,0.043,2.3,2020.0,0.0,0.0
"ln-2054-5236-1","WICHITA FA~1-OLNEY 1 0","2054","5236",8.0E-4,0.00971,0.64507,2020.0,0.0,0.0
"ln-2058-2123-1","WHITE DEER 0-PANHANDLE ~1","2058","2123",0.00524,0.0231,0.01075,187.0,0.0,0.0
"ln-2060-2064-1","ROXTON 0-SUMNER 0","2060","2064",0.00608,0.03562,0.01779,251.0,0.0,0.0
"ln-2060-5136-1","ROXTON 0-COOPER 0","2060","5136",0.00421,0.02468,0.01232,251.0,0.0,0.0
"ln-2063-2092-1","DENISON 2 0-DENISON 1 0","2063","2092",0.00409,0.02397,0.01197,251.0,0.0,0.0
"ln-2065-2126-1","GAINESVILL~1-VALLEY VIE~1","2065","2126",0.00712,0.04025,0.02165,251.0,0.0,0.0
"ln-2066-2073-1","ASPERMONT 0-JAYTON 0","2066","2073",0.01087,0.06371,0.03181,251.0,0.0,0.0
"ln-2067-2068-1","WICHITA F~11-WINDTHORST 0","2067","2068",0.00995,0.05832,0.02912,251.0,0.0,0.0
"ln-2068-2088-1","WINDTHORST 0-ARCHER 1 0","2068","2088",0.00135,0.00792,0.00396,251.0,0.0,0.0
"ln-2069-2072-1","HOWE 0-COLLINSVIL~1","2069","2072",0.00557,0.03267,0.01631,251.0,0.0,0.0
"ln-2069-5074-1","HOWE 0-PROSPER 0","2069","5074",0.0102,0.04493,0.02092,187.0,0.0,0.0
"ln-2070-2088-1","ARCHER 2 0-ARCHER 1 0","2070","2088",0.00235,0.01376,0.00687,251.0,0.0,0.0
"ln-2070-5237-1","ARCHER 2 0-OLNEY 1 1","2070","5237",0.00727,0.03095,0.01548,245.0,0.0,0.0
"ln-2072-2102-1","COLLINSVIL~1-SHERMAN 1 1","2072","2102",0.0084,0.04925,0.0246,251.0,0.0,0.0
"ln-2073-2087-1","JAYTON 0-SPUR 0","2073","2087",0.01908,0.08409,0.03914,187.0,0.0,0.0
"ln-2073-3079-1","JAYTON 0-HERMLEIGH 1","2073","3079",0.01377,0.08073,0.04031,251.0,0.0,0.0
"ln-2074-3115-1","JAYTON 1-ROTAN 0","2074","3115",0.0052,0.02972,0.00447,221.0,0.0,0.0
"ln-2077-2110-1","MUENSTER 1 0-MUENSTER 2 0","2077","2110",0.00218,0.01278,0.00638,310.0,0.0,0.0
"ln-2077-2133-1","MUENSTER 1 0-SAINT JO 0","2077","2133",0.00307,0.01798,0.00898,251.0,0.0,0.0
"ln-2080-2086-1","NOCONA 0-MONTAGUE 0","2080","2086",0.01338,0.05896,0.02745,187.0,0.0,0.0
"ln-2080-2133-1","NOCONA 0-SAINT JO 0","2080","2133",0.01236,0.07244,0.03618,251.0,0.0,0.0
"ln-2081-2129-1","DODD CITY 0-TRENTON 0","2081","2129",0.01257,0.05349,0.02675,187.0,0.0,0.0
"ln-2090-2121-1","ANNONA 0-BAGWELL 0","2090","2121",0.01763,0.075,0.03751,187.0,0.0,0.0
"ln-2097-3096-1","RALLS 1 1-FLUVANNA 2 0","2097","3096",0.00546,0.05679,0.19351,750.0,0.0,0.0
"ln-2101-5083-1","SHERMAN 1 0-MCKINNEY 3 0","2101","5083",5.9E-4,0.00721,0.47876,2020.0,0.0,0.0
"ln-2102-2107-1","SHERMAN 1 1-SHERMAN 2 0","2102","2107",0.00156,0.01139,0.00646,310.0,0.0,0.0
"ln-2106-2124-1","WHITEWRIGH~1-VAN ALSTYN~1","2106","2124",0.00485,0.02842,0.01419,251.0,0.0,0.0
"ln-2106-2129-1","WHITEWRIGH~1-TRENTON 0","2106","2129",0.00424,0.01803,0.00902,187.0,0.0,0.0
"ln-2107-2125-1","SHERMAN 2 0-TIOGA 0","2107","2125",0.0109,0.06393,0.03192,251.0,0.0,0.0
"ln-2108-2130-1","ROCHESTER 0-HASKELL 0","2108","2130",0.00945,0.04022,0.02012,187.0,0.0,0.0
"ln-2108-5472-1","ROCHESTER 0-THROCKMORT~1","2108","5472",0.01619,0.07138,0.03323,187.0,0.0,0.0
"ln-2111-5187-1","ARCHER CIT~1-OLNEY 2 0","2111","5187",0.01319,0.05811,0.02705,187.0,0.0,0.0
"ln-2111-5472-1","ARCHER CIT~1-THROCKMORT~1","2111","5472",0.02196,0.09676,0.04504,187.0,0.0,0.0
"ln-2113-5049-1","PARIS 1 0-GREENVILLE~1","2113","5049",5.3E-4,0.01087,0.75821,2768.0,0.0,0.0
"ln-2113-8126-1","PARIS 1 0-MOUNT PLEA~1","2113","8126",5.8E-4,0.01198,0.83533,2768.0,0.0,0.0
"ln-2124-5450-1","VAN ALSTYN~1-MELISSA 0","2124","5450",0.00519,0.02933,0.01578,251.0,0.0,0.0
"ln-2125-5078-1","TIOGA 0-AUBREY 0","2125","5078",0.00981,0.04323,0.02012,187.0,0.0,0.0
"ln-2125-5215-1","TIOGA 0-PILOT POIN~1","2125","5215",0.00341,0.01999,0.00998,251.0,0.0,0.0
"ln-2126-5220-1","VALLEY VIE~1-SANGER 0","2126","5220",0.0038,0.02226,0.01112,251.0,0.0,0.0
"ln-2127-5164-1","MIAMI 0-DENTON 1 0","2127","5164",0.01,0.1,3.0,2768.0,0.0,0.0
"ln-2129-5141-1","TRENTON 0-ANNA 0","2129","5141",0.00446,0.02617,0.01307,251.0,0.0,0.0
"ln-2131-3021-1","HASKELL 1-LUEDERS 0","2131","3021",0.02143,0.09374,0.01428,149.0,0.0,0.0
"ln-3001-6177-1","KERRVILLE 0-SAN ANTON~73","3001","6177",0.00653,0.06378,0.12272,548.0,0.0,0.0
"ln-3001-6285-1","KERRVILLE 0-BOERNE 2 0","3001","6285",0.00639,0.04566,0.08324,443.0,0.0,0.0
"ln-3002-3107-1","KERRVILLE 1-INGRAM 0","3002","3107",0.01283,0.07327,0.01101,98.0,0.0,0.0
"ln-3003-3103-1","SWEETWATER~4-SWEETWATER~6","3003","3103",0.01071,0.04441,0.00754,149.0,0.0,0.0
