ID,Name
ZAPATA,ZAPATA
COTULLA,COTULLA
QUEMADO,QUEMADO
"CARRIZO SPRINGS","CARRIZO SPRINGS"
RAYMONDVILLE,RAYMONDVILLE
LEMING,LEMING
GARLAND,GARLAND
KERENS,KERENS
LIPAN,LIPAN
DALLAS,DALLAS
DENTON,DENTON
ALBANY,ALBANY
PLANO,PLANO
THORNTON,THORNTON
EARLY,EARLY
DECATUR,DECATUR
KELLER,KELLER
PONDER,PONDER
JACKSBORO,JACKSBORO
ALEDO,ALEDO
GATESVILLE,GATESVILLE
CLEBURNE,CLEBURNE
"FORT WORTH","FORT WORTH"
TROY,TROY
SPRINGTOWN,SPRINGTOWN
PRINCETON,PRINCETON
"ROYSE CITY","ROYSE CITY"
BOYD,BOYD
STEPHENVILLE,STEPHENVILLE
MANSFIELD,MANSFIELD
GREENVILLE,GREENVILLE
GROESBECK,GROESBECK
GRAHAM,GRAHAM
MABANK,MABANK
ARLINGTON,ARLINGTON
WACO,WACO
BANGS,BANGS
PROSPER,PROSPER
EVANT,EVANT
TERRELL,TERRELL
AUBREY,AUBREY
LORENA,LORENA
"FORT HOOD","FORT HOOD"
MCKINNEY,MCKINNEY
MILFORD,MILFORD
CLIFTON,CLIFTON
FROST,FROST
GRANDVIEW,GRANDVIEW
HASLET,HASLET
BARDWELL,BARDWELL
"LAKE DALLAS","LAKE DALLAS"
EULESS,EULESS
"FLOWER MOUND","FLOWER MOUND"
COMANCHE,COMANCHE
RICHARDSON,RICHARDSON
IRVING,IRVING
LANCASTER,LANCASTER
"PALO PINTO","PALO PINTO"
ADDISON,ADDISON
HICO,HICO
KRUM,KRUM
KAUFMAN,KAUFMAN
"CADDO MILLS","CADDO MILLS"
BAIRD,BAIRD
PERRIN,PERRIN
BROWNWOOD,BROWNWOOD
MARLIN,MARLIN
JONESBORO,JONESBORO
GOLDTHWAITE,GOLDTHWAITE
BELTON,BELTON
TOLAR,TOLAR
BRECKENRIDGE,BRECKENRIDGE
EASTLAND,EASTLAND
COOPER,COOPER
ANNA,ANNA
MOODY,MOODY
"GRAND PRAIRIE","GRAND PRAIRIE"
ROWLETT,ROWLETT
BRYSON,BRYSON
MORGAN,MORGAN
SACHSE,SACHSE
PARADISE,PARADISE
"RIO VISTA","RIO VISTA"
STRAWN,STRAWN
ABBOTT,ABBOTT
DESOTO,DESOTO
MESQUITE,MESQUITE
ROSEBUD,ROSEBUD
AXTELL,AXTELL
NOLANVILLE,NOLANVILLE
DUBLIN,DUBLIN
MERTENS,MERTENS
WEATHERFORD,WEATHERFORD
MALONE,MALONE
GRAFORD,GRAFORD
ROCKWALL,ROCKWALL
CORSICANA,CORSICANA
CARROLLTON,CARROLLTON
RHOME,RHOME
VENUS,VENUS
OLNEY,OLNEY
GORDON,GORDON
MERIDIAN,MERIDIAN
KILLEEN,KILLEEN
DUNCANVILLE,DUNCANVILLE
ARGYLE,ARGYLE
"MINERAL WELLS","MINERAL WELLS"
COOLIDGE,COOLIDGE
RICE,RICE
POOLVILLE,POOLVILLE
"WALNUT SPRINGS","WALNUT SPRINGS"
BEDFORD,BEDFORD
HUBBARD,HUBBARD
FERRIS,FERRIS
"PILOT POINT","PILOT POINT"
"NORTH RICHLAND HILLS","NORTH RICHLAND HILLS"
JUSTIN,JUSTIN
SCURRY,SCURRY
SANGER,SANGER
MEXIA,MEXIA
NEVADA,NEVADA
ZEPHYR,ZEPHYR
FRISCO,FRISCO
SALADO,SALADO
GRAPEVINE,GRAPEVINE
"GLEN ROSE","GLEN ROSE"
KOPPERL,KOPPERL
ROANOKE,ROANOKE
MILLSAP,MILLSAP
FORRESTON,FORRESTON
ITALY,ITALY
FORNEY,FORNEY
LAVON,LAVON
"DE LEON","DE LEON"
"CEDAR HILL","CEDAR HILL"
"MC GREGOR","MC GREGOR"
COMMERCE,COMMERCE
MIDLOTHIAN,MIDLOTHIAN
WEST,WEST
BARTLETT,BARTLETT
COPPELL,COPPELL
WILMER,WILMER
DAWSON,DAWSON
MART,MART
"LITTLE ELM","LITTLE ELM"
TEMPLE,TEMPLE
QUINLAN,QUINLAN
CHICO,CHICO
"WOLFE CITY","WOLFE CITY"
WHITNEY,WHITNEY
JOSHUA,JOSHUA
ALLEN,ALLEN
"THE COLONY","THE COLONY"
SUNNYVALE,SUNNYVALE
AZLE,AZLE
HUTCHINS,HUTCHINS
GRANBURY,GRANBURY
"MOUNT CALM","MOUNT CALM"
RIESEL,RIESEL
CELINA,CELINA
"RED OAK","RED OAK"
CLYDE,CLYDE
SOUTHLAKE,SOUTHLAKE
LEWISVILLE,LEWISVILLE
HILLSBORO,HILLSBORO
CISCO,CISCO
ITASCA,ITASCA
MAYPEARL,MAYPEARL
BRIDGEPORT,BRIDGEPORT
SEAGOVILLE,SEAGOVILLE
"HALTOM CITY","HALTOM CITY"
"BALCH SPRINGS","BALCH SPRINGS"
ENNIS,ENNIS
ROGERS,ROGERS
"CHINA SPRING","CHINA SPRING"
FARMERSVILLE,FARMERSVILLE
WYLIE,WYLIE
JOSEPHINE,JOSEPHINE
KEMP,KEMP
WAXAHACHIE,WAXAHACHIE
HURST,HURST
NEWARK,NEWARK
SANTO,SANTO
"ELM MOTT","ELM MOTT"
HEWITT,HEWITT
MELISSA,MELISSA
"COPPERAS COVE","COPPERAS COVE"
ALVORD,ALVORD
GORMAN,GORMAN
COLLEYVILLE,COLLEYVILLE
HOLLAND,HOLLAND
WOODWAY,WOODWAY
MINGUS,MINGUS
THROCKMORTON,THROCKMORTON
NEMO,NEMO
ALVARADO,ALVARADO
"HARKER HEIGHTS","HARKER HEIGHTS"
BURLESON,BURLESON
"CROSS PLAINS","CROSS PLAINS"
"BLOOMING GROVE","BLOOMING GROVE"
CONVERSE,CONVERSE
"SAN ANTONIO","SAN ANTONIO"
BASTROP,BASTROP
MARION,MARION
PAIGE,PAIGE
WAELDER,WAELDER
ATASCOSA,ATASCOSA
CIBOLO,CIBOLO
AUSTIN,AUSTIN
"HORSESHOE BAY","HORSESHOE BAY"
LEANDER,LEANDER
ELGIN,ELGIN
RUNGE,RUNGE
YOAKUM,YOAKUM
PFLUGERVILLE,PFLUGERVILLE
BERGHEIM,BERGHEIM
"NEW BRAUNFELS","NEW BRAUNFELS"
"D HANIS","D HANIS"
BRENHAM,BRENHAM
BERTRAM,BERTRAM
"LA GRANGE","LA GRANGE"
"MARBLE FALLS","MARBLE FALLS"
"ROUND ROCK","ROUND ROCK"
WIMBERLEY,WIMBERLEY
GONZALES,GONZALES
HUTTO,HUTTO
LULING,LULING
ADKINS,ADKINS
WINCHESTER,WINCHESTER
ROCKDALE,ROCKDALE
NATALIA,NATALIA
TAYLOR,TAYLOR
SMITHVILLE,SMITHVILLE
"CEDAR PARK","CEDAR PARK"
HALLETTSVILLE,HALLETTSVILLE
"SUTHERLAND SPRINGS","SUTHERLAND SPRINGS"
CAMERON,CAMERON
MEDINA,MEDINA
MANCHACA,MANCHACA
SPRING,SPRING
FLATONIA,FLATONIA
GRANGER,GRANGER
FAYETTEVILLE,FAYETTEVILLE
GEORGETOWN,GEORGETOWN
"PIPE CREEK","PIPE CREEK"
"RED ROCK","RED ROCK"
JARRELL,JARRELL
SCHULENBURG,SCHULENBURG
"DRIPPING SPRINGS","DRIPPING SPRINGS"
BOERNE,BOERNE
WASHINGTON,WASHINGTON
SCHERTZ,SCHERTZ
SEGUIN,SEGUIN
CUERO,CUERO
"LA VERNIA","LA VERNIA"
MANOR,MANOR
GIDDINGS,GIDDINGS
COLUMBUS,COLUMBUS
SHINER,SHINER
CALDWELL,CALDWELL
INDUSTRY,INDUSTRY
DALE,DALE
MARTINDALE,MARTINDALE
LEXINGTON,LEXINGTON
MICO,MICO
LOCKHART,LOCKHART
"FALLS CITY","FALLS CITY"
BLANCO,BLANCO
"SAN MARCOS","SAN MARCOS"
BUDA,BUDA
"DEL VALLE","DEL VALLE"
BURLINGTON,BURLINGTON
ELMENDORF,ELMENDORF
"CANYON LAKE","CANYON LAKE"
"JOHNSON CITY","JOHNSON CITY"
YORKTOWN,YORKTOWN
"LACKLAND AFB","LACKLAND AFB"
LIBERTY,LIBERTY
KENEDY,KENEDY
"VON ORMY","VON ORMY"
KYLE,KYLE
"UNIVERSAL CITY","UNIVERSAL CITY"
SPICEWOOD,SPICEWOOD
"SAINT HEDWIG","SAINT HEDWIG"
"CEDAR CREEK","CEDAR CREEK"
HONDO,HONDO
"NEW ULM","NEW ULM"
BULVERDE,BULVERDE
FLORESVILLE,FLORESVILLE
BUCKHOLTS,BUCKHOLTS
SOMERVILLE,SOMERVILLE
WEIMAR,WEIMAR
COMFORT,COMFORT
NORDHEIM,NORDHEIM
HELOTES,HELOTES
BANDERA,BANDERA
NIXON,NIXON
"CHAPPELL HILL","CHAPPELL HILL"
OILTON,OILTON
DEVINE,DEVINE
BURNET,BURNET
INEZ,INEZ
PASADENA,PASADENA
"PRAIRIE VIEW","PRAIRIE VIEW"
CONROE,CONROE
SIMONTON,SIMONTON
HOUSTON,HOUSTON
NURSERY,NURSERY
BACLIFF,BACLIFF
"PORT LAVACA","PORT LAVACA"
"SUGAR LAND","SUGAR LAND"
DAYTON,DAYTON
VICTORIA,VICTORIA
KATY,KATY
MAGNOLIA,MAGNOLIA
"MISSOURI CITY","MISSOURI CITY"
RICHMOND,RICHMOND
"POINT COMFORT","POINT COMFORT"
"EL CAMPO","EL CAMPO"
"PORT O CONNOR","PORT O CONNOR"
DICKINSON,DICKINSON
GALVESTON,GALVESTON
BAYTOWN,BAYTOWN
"LEAGUE CITY","LEAGUE CITY"
LIVERPOOL,LIVERPOOL
PINEHURST,PINEHURST
PEARLAND,PEARLAND
WADSWORTH,WADSWORTH
TOMBALL,TOMBALL
"DEER PARK","DEER PARK"
WALLIS,WALLIS
"SOUTH HOUSTON","SOUTH HOUSTON"
SEADRIFT,SEADRIFT
LOLITA,LOLITA
"LA PORTE","LA PORTE"
"NEW CANEY","NEW CANEY"
WILLIS,WILLIS
PALACIOS,PALACIOS
KINGWOOD,KINGWOOD
"TEXAS CITY","TEXAS CITY"
FRESNO,FRESNO
PATTISON,PATTISON
CYPRESS,CYPRESS
HEMPSTEAD,HEMPSTEAD
"WEST COLUMBIA","WEST COLUMBIA"
"SANTA FE","SANTA FE"
MONTGOMERY,MONTGOMERY
HUNGERFORD,HUNGERFORD
BEASLEY,BEASLEY
"LA MARQUE","LA MARQUE"
WALLER,WALLER
PORTER,PORTER
FULSHEAR,FULSHEAR
WINNIE,WINNIE
CROSBY,CROSBY
MANVEL,MANVEL
DAMON,DAMON
HOCKLEY,HOCKLEY
ANGLETON,ANGLETON
CHANNELVIEW,CHANNELVIEW
"BAY CITY","BAY CITY"
BROOKSHIRE,BROOKSHIRE
GANADO,GANADO
"MONT BELVIEU","MONT BELVIEU"
HUMBLE,HUMBLE
"PORT BOLIVAR","PORT BOLIVAR"
"EAGLE LAKE","EAGLE LAKE"
WEBSTER,WEBSTER
SWEENY,SWEENY
BLESSING,BLESSING
WHARTON,WHARTON
"LAKE JACKSON","LAKE JACKSON"
BELLVILLE,BELLVILLE
FRIENDSWOOD,FRIENDSWOOD
FREEPORT,FREEPORT
NEWGULF,NEWGULF
STAFFORD,STAFFORD
EDNA,EDNA
NEEDVILLE,NEEDVILLE
SEALY,SEALY
THOMPSONS,THOMPSONS
"EAST BERNARD","EAST BERNARD"
ROSHARON,ROSHARON
"VAN VLECK","VAN VLECK"
HUFFMAN,HUFFMAN
ROSENBERG,ROSENBERG
DANBURY,DANBURY
ALVIN,ALVIN
BRAZORIA,BRAZORIA
MADISONVILLE,MADISONVILLE
NORMANGEE,NORMANGEE
ARP,ARP
CENTERVILLE,CENTERVILLE
LUFKIN,LUFKIN
FLINT,FLINT
BULLARD,BULLARD
CHANDLER,CHANDLER
PLANTERSVILLE,PLANTERSVILLE
MARQUEZ,MARQUEZ
"TENNESSEE COLONY","TENNESSEE COLONY"
ANDERSON,ANDERSON
MINEOLA,MINEOLA
LOVELADY,LOVELADY
HUNTINGTON,HUNTINGTON
BRYAN,BRYAN
FRANKSTON,FRANKSTON
TYLER,TYLER
"BEN WHEELER","BEN WHEELER"
GARRISON,GARRISON
ETOILE,ETOILE
PALESTINE,PALESTINE
LINDALE,LINDALE
WHITEHOUSE,WHITEHOUSE
OVERTON,OVERTON
"GRAND SALINE","GRAND SALINE"
SHIRO,SHIRO
MIDWAY,MIDWAY
"SULPHUR SPRINGS","SULPHUR SPRINGS"
VAN,VAN
MURCHISON,MURCHISON
NACOGDOCHES,NACOGDOCHES
DIBOLL,DIBOLL
FAIRFIELD,FAIRFIELD
ATHENS,ATHENS
BUFFALO,BUFFALO
RUSK,RUSK
WINONA,WINONA
CUSHING,CUSHING
TRINIDAD,TRINIDAD
DIKE,DIKE
JEWETT,JEWETT
EMORY,EMORY
"MOUNT ENTERPRISE","MOUNT ENTERPRISE"
FRANKLIN,FRANKLIN
ELKHART,ELKHART
WORTHAM,WORTHAM
OAKWOOD,OAKWOOD
COOKVILLE,COOKVILLE
"COLLEGE STATION","COLLEGE STATION"
EDGEWOOD,EDGEWOOD
ALTO,ALTO
CALVERT,CALVERT
NAVASOTA,NAVASOTA
"MOUNT PLEASANT","MOUNT PLEASANT"
SCROGGINS,SCROGGINS
"WILLS POINT","WILLS POINT"
POINT,POINT
JACKSONVILLE,JACKSONVILLE
CROCKETT,CROCKETT
HENDERSON,HENDERSON
MALAKOFF,MALAKOFF
CUMBY,CUMBY
TEAGUE,TEAGUE
YANTIS,YANTIS
POLLOK,POLLOK
"MOUNT VERNON","MOUNT VERNON"
IOLA,IOLA
STREETMAN,STREETMAN
COMO,COMO
ZAVALLA,ZAVALLA
GRAPELAND,GRAPELAND
CANTON,CANTON
BREMOND,BREMOND
