"ID","Name","Transformer","Node1","Node2","R","X","Gmag","Bmag","PhaseShift","NormalOperatingLimit","ShortTermLimit","EmergencyLimit"
"tx2-8079-8074-1:wnd1","MT. ENTERP~6-MT. ENTERP~1","tx2-8079-8074-1","8079","8074",2.0E-4,0.0153,0.0,0.0,0.0,818.0,0.0,0.0
"tx2-8078-8074-1:wnd1","MT. ENTERP~5-MT. ENTERP~1","tx2-8078-8074-1","8078","8074",2.9E-4,0.01964,0.0,0.0,0.0,818.0,0.0,0.0
"tx2-8077-8074-1:wnd1","MT. ENTERP~4-MT. ENTERP~1","tx2-8077-8074-1","8077","8074",1.6E-4,0.01864,0.0,0.0,0.0,806.0,0.0,0.0
"tx2-8075-8074-2:wnd1","MT. ENTERP~2-MT. ENTERP~1","tx2-8075-8074-2","8075","8074",2.8E-4,0.02981,0.0,0.0,0.0,550.0,0.0,0.0
"tx2-8075-8074-1:wnd1","MT. ENTERP~2-MT. ENTERP~1","tx2-8075-8074-1","8075","8074",2.8E-4,0.02981,0.0,0.0,0.0,550.0,0.0,0.0
"tx2-8069-8068-1:wnd1","JEWETT 1 2-JEWETT 1 1","tx2-8069-8068-1","8069","8068",7.4E-4,0.05407,0.0,0.0,0.0,143.0,0.0,0.0
"tx2-8071-8067-1:wnd1","JEWETT 1 4-JEWETT 1 0","tx2-8071-8067-1","8071","8067",1.4E-4,0.01049,0.0,0.0,0.0,1314.0,0.0,0.0
"tx2-8070-8067-1:wnd1","JEWETT 1 3-JEWETT 1 0","tx2-8070-8067-1","8070","8067",1.6E-4,0.01452,0.0,0.0,0.0,1325.0,0.0,0.0
"tx2-8068-8067-1:wnd1","JEWETT 1 1-JEWETT 1 0","tx2-8068-8067-1","8068","8067",3.5E-4,0.03434,0.0,0.0,0.0,285.0,0.0,0.0
"tx2-8059-8058-1:wnd1","FAIRFIELD~12-FAIRFIELD~11","tx2-8059-8058-1","8059","8058",0.00191,0.06531,0.0,0.0,0.0,143.8,0.0,0.0
"tx2-8061-8057-1:wnd1","FAIRFIELD~14-FAIRFIELD~10","tx2-8061-8057-1","8061","8057",1.9E-4,0.01179,0.0,0.0,0.0,1152.0,0.0,0.0
"tx2-8060-8057-1:wnd1","FAIRFIELD~13-FAIRFIELD~10","tx2-8060-8057-1","8060","8057",1.3E-4,0.00977,0.0,0.0,0.0,1157.0,0.0,0.0
"tx2-8058-8057-1:wnd1","FAIRFIELD~11-FAIRFIELD~10","tx2-8058-8057-1","8058","8057",1.9E-4,0.02064,0.0,0.0,0.0,491.0,0.0,0.0
"tx2-8045-8044-1:wnd1","FAIRFIELD ~3-FAIRFIELD ~2","tx2-8045-8044-1","8045","8044",4.2E-4,0.02402,0.0,0.0,0.0,388.0,0.0,0.0
"tx2-8051-8043-1:wnd1","FAIRFIELD ~9-FAIRFIELD ~1","tx2-8051-8043-1","8051","8043",1.3E-4,0.00831,0.0,0.0,0.0,608.0,0.0,0.0
"tx2-8050-8043-1:wnd1","FAIRFIELD ~8-FAIRFIELD ~1","tx2-8050-8043-1","8050","8043",3.2E-4,0.0182,0.0,0.0,0.0,618.0,0.0,0.0
"tx2-8049-8043-1:wnd1","FAIRFIELD ~7-FAIRFIELD ~1","tx2-8049-8043-1","8049","8043",1.7E-4,0.00903,0.0,0.0,0.0,608.0,0.0,0.0
"tx2-8048-8043-1:wnd1","FAIRFIELD ~6-FAIRFIELD ~1","tx2-8048-8043-1","8048","8043",5.5E-4,0.02691,0.0,0.0,0.0,598.0,0.0,0.0
"tx2-8047-8043-1:wnd1","FAIRFIELD ~5-FAIRFIELD ~1","tx2-8047-8043-1","8047","8043",2.1E-4,0.01156,0.0,0.0,0.0,613.0,0.0,0.0
"tx2-8046-8043-1:wnd1","FAIRFIELD ~4-FAIRFIELD ~1","tx2-8046-8043-1","8046","8043",1.3E-4,0.01356,0.0,0.0,0.0,606.0,0.0,0.0
"tx2-8044-8043-1:wnd1","FAIRFIELD ~2-FAIRFIELD ~1","tx2-8044-8043-1","8044","8043",9.0E-5,0.00881,0.0,0.0,0.0,1072.0,0.0,0.0
"tx2-8032-8031-1:wnd1","SHIRO 2-SHIRO 1","tx2-8032-8031-1","8032","8031",9.9E-4,0.03425,0.0,0.0,0.0,400.0,0.0,0.0
"tx2-8036-8030-1:wnd1","SHIRO 6-SHIRO 0","tx2-8036-8030-1","8036","8030",2.1E-4,0.01615,0.0,0.0,0.0,820.0,0.0,0.0
"tx2-8035-8030-1:wnd1","SHIRO 5-SHIRO 0","tx2-8035-8030-1","8035","8030",2.1E-4,0.01536,0.0,0.0,0.0,830.0,0.0,0.0
"tx2-8034-8030-1:wnd1","SHIRO 4-SHIRO 0","tx2-8034-8030-1","8034","8030",2.1E-4,0.01721,0.0,0.0,0.0,818.0,0.0,0.0
"tx2-8033-8030-1:wnd1","SHIRO 3-SHIRO 0","tx2-8033-8030-1","8033","8030",2.9E-4,0.02168,0.0,0.0,0.0,826.0,0.0,0.0
"tx2-8031-8030-1:wnd1","SHIRO 1-SHIRO 0","tx2-8031-8030-1","8031","8030",7.0E-5,0.00828,0.0,0.0,0.0,1036.0,0.0,0.0
"tx2-8024-8023-1:wnd1","LUFKIN 1 1-LUFKIN 1 0","tx2-8024-8023-1","8024","8023",0.01105,0.18799,0.0,0.0,0.0,47.0,0.0,0.0
"tx2-8019-8018-2:wnd1","TYLER 4 1-TYLER 4 0","tx2-8019-8018-2","8019","8018",0.00115,0.03658,0.0,0.0,0.0,360.0,0.0,0.0
"tx2-8019-8018-1:wnd1","TYLER 4 1-TYLER 4 0","tx2-8019-8018-1","8019","8018",0.00115,0.03658,0.0,0.0,0.0,360.0,0.0,0.0
"tx2-8005-8004-2:wnd1","LUFKIN 3 1-LUFKIN 3 0","tx2-8005-8004-2","8005","8004",2.9E-4,0.01244,0.0,0.0,0.0,459.0,0.0,0.0
"tx2-8005-8004-1:wnd1","LUFKIN 3 1-LUFKIN 3 0","tx2-8005-8004-1","8005","8004",2.9E-4,0.01244,0.0,0.0,0.0,459.0,0.0,0.0
"tx2-7430-7429-1:wnd1","FREEPORT 2 2-FREEPORT 2 1","tx2-7430-7429-1","7430","7429",0.00214,0.08887,0.0,0.0,0.0,133.8,0.0,0.0
"tx2-7429-7428-1:wnd1","FREEPORT 2 1-FREEPORT 2 0","tx2-7429-7428-1","7429","7428",2.6E-4,0.01258,0.0,0.0,0.0,927.0,0.0,0.0
"tx2-7424-7423-3:wnd1","ALVIN 2-ALVIN 1","tx2-7424-7423-3","7424","7423",0.00105,0.04353,0.0,0.0,0.0,213.0,0.0,0.0
"tx2-7424-7423-2:wnd1","ALVIN 2-ALVIN 1","tx2-7424-7423-2","7424","7423",0.00105,0.04353,0.0,0.0,0.0,213.0,0.0,0.0
"tx2-7424-7423-1:wnd1","ALVIN 2-ALVIN 1","tx2-7424-7423-1","7424","7423",0.00105,0.04353,0.0,0.0,0.0,213.0,0.0,0.0
"tx2-7423-7422-1:wnd1","ALVIN 1-ALVIN 0","tx2-7423-7422-1","7423","7422",1.4E-4,0.00897,0.0,0.0,0.0,1350.0,0.0,0.0
"tx2-7421-7420-2:wnd1","MAGNOLIA 1 1-MAGNOLIA 1 0","tx2-7421-7420-2","7421","7420",0.00106,0.06841,0.0,0.0,0.0,161.4,0.0,0.0
"tx2-7421-7420-1:wnd1","MAGNOLIA 1 1-MAGNOLIA 1 0","tx2-7421-7420-1","7421","7420",0.00106,0.06841,0.0,0.0,0.0,161.4,0.0,0.0
"tx2-7416-7415-1:wnd1","VICTORIA 1 2-VICTORIA 1 1","tx2-7416-7415-1","7416","7415",0.00128,0.09703,0.0,0.0,0.0,109.0,0.0,0.0
"tx2-7415-7414-1:wnd1","VICTORIA 1 1-VICTORIA 1 0","tx2-7415-7414-1","7415","7414",4.0E-4,0.04372,0.0,0.0,0.0,239.0,0.0,0.0
"tx2-7410-7409-3:wnd1","KATY 2 1-KATY 2 0","tx2-7410-7409-3","7410","7409",5.4E-4,0.03923,0.0,0.0,0.0,248.4,0.0,0.0
"tx2-7410-7409-2:wnd1","KATY 2 1-KATY 2 0","tx2-7410-7409-2","7410","7409",5.4E-4,0.03923,0.0,0.0,0.0,248.4,0.0,0.0
"tx2-7410-7409-1:wnd1","KATY 2 1-KATY 2 0","tx2-7410-7409-1","7410","7409",5.4E-4,0.03923,0.0,0.0,0.0,248.4,0.0,0.0
"tx2-7408-7407-1:wnd1","POINT COMF~3-POINT COMF~2","tx2-7408-7407-1","7408","7407",0.00118,0.08057,0.0,0.0,0.0,143.8,0.0,0.0
"tx2-7407-7406-1:wnd1","POINT COMF~2-POINT COMF~1","tx2-7407-7406-1","7407","7406",2.0E-4,0.01441,0.0,0.0,0.0,1026.0,0.0,0.0
"tx2-7402-7401-1:wnd1","HOUSTON 6 2-HOUSTON 6 1","tx2-7402-7401-1","7402","7401",4.9E-4,0.03223,0.0,0.0,0.0,423.0,0.0,0.0
"tx2-7401-7400-1:wnd1","HOUSTON 6 1-HOUSTON 6 0","tx2-7401-7400-1","7401","7400",1.1E-4,0.00786,0.0,0.0,0.0,1297.0,0.0,0.0
"tx2-7391-7390-1:wnd1","WILLIS 1 2-WILLIS 1 1","tx2-7391-7390-1","7391","7390",0.00148,0.044,0.0,0.0,0.0,127.2,0.0,0.0
"tx2-7390-7389-1:wnd1","WILLIS 1 1-WILLIS 1 0","tx2-7390-7389-1","7390","7389",1.9E-4,0.01131,0.0,0.0,0.0,1278.0,0.0,0.0
"tx2-7368-7367-3:wnd1","CHANNELVIE~7-CHANNELVIE~2","tx2-7368-7367-3","7368","7367",8.6E-4,0.03726,0.0,0.0,0.0,392.0,0.0,0.0
"tx2-7368-7367-2:wnd1","CHANNELVIE~7-CHANNELVIE~2","tx2-7368-7367-2","7368","7367",8.6E-4,0.03726,0.0,0.0,0.0,392.0,0.0,0.0
"tx2-7368-7367-1:wnd1","CHANNELVIE~7-CHANNELVIE~2","tx2-7368-7367-1","7368","7367",8.6E-4,0.03726,0.0,0.0,0.0,392.0,0.0,0.0
"tx2-7379-7366-1:wnd1","CHANNELVIE~6-CHANNELVIE~1","tx2-7379-7366-1","7379","7366",3.1E-4,0.02202,0.0,0.0,0.0,700.0,0.0,0.0
"tx2-7378-7366-1:wnd1","CHANNELVIE~5-CHANNELVIE~1","tx2-7378-7366-1","7378","7366",3.6E-4,0.02384,0.0,0.0,0.0,694.0,0.0,0.0
"tx2-7377-7366-1:wnd1","CHANNELVIE~4-CHANNELVIE~1","tx2-7377-7366-1","7377","7366",3.1E-4,0.01898,0.0,0.0,0.0,705.0,0.0,0.0
"tx2-7376-7366-1:wnd1","CHANNELVIE~3-CHANNELVIE~1","tx2-7376-7366-1","7376","7366",3.5E-4,0.02498,0.0,0.0,0.0,713.0,0.0,0.0
"tx2-7375-7366-1:wnd1","CHANNELVI~14-CHANNELVIE~1","tx2-7375-7366-1","7375","7366",4.5E-4,0.02708,0.0,0.0,0.0,712.0,0.0,0.0
"tx2-7374-7366-1:wnd1","CHANNELVI~13-CHANNELVIE~1","tx2-7374-7366-1","7374","7366",4.0E-4,0.0255,0.0,0.0,0.0,487.0,0.0,0.0
"tx2-7373-7366-1:wnd1","CHANNELVI~12-CHANNELVIE~1","tx2-7373-7366-1","7373","7366",1.0E-4,0.01184,0.0,0.0,0.0,491.0,0.0,0.0
"tx2-7372-7366-1:wnd1","CHANNELVI~11-CHANNELVIE~1","tx2-7372-7366-1","7372","7366",4.9E-4,0.03162,0.0,0.0,0.0,485.0,0.0,0.0
"tx2-7371-7366-1:wnd1","CHANNELVI~10-CHANNELVIE~1","tx2-7371-7366-1","7371","7366",4.9E-4,0.03404,0.0,0.0,0.0,469.0,0.0,0.0
"tx2-7370-7366-1:wnd1","CHANNELVIE~9-CHANNELVIE~1","tx2-7370-7366-1","7370","7366",6.5E-4,0.04118,0.0,0.0,0.0,480.0,0.0,0.0
"tx2-7369-7366-1:wnd1","CHANNELVIE~8-CHANNELVIE~1","tx2-7369-7366-1","7369","7366",5.3E-4,0.03243,0.0,0.0,0.0,494.0,0.0,0.0
"tx2-7367-7366-2:wnd1","CHANNELVIE~2-CHANNELVIE~1","tx2-7367-7366-2","7367","7366",2.1E-4,0.01366,0.0,0.0,0.0,1249.0,0.0,0.0
"tx2-7367-7366-1:wnd1","CHANNELVIE~2-CHANNELVIE~1","tx2-7367-7366-1","7367","7366",2.1E-4,0.01366,0.0,0.0,0.0,1249.0,0.0,0.0
"tx2-7348-7347-2:wnd1","THOMPSONS 2-THOMPSONS 1","tx2-7348-7347-2","7348","7347",6.2E-4,0.02698,0.0,0.0,0.0,407.0,0.0,0.0
"tx2-7348-7347-1:wnd1","THOMPSONS 2-THOMPSONS 1","tx2-7348-7347-1","7348","7347",6.2E-4,0.02698,0.0,0.0,0.0,407.0,0.0,0.0
"tx2-7361-7346-1:wnd1","THOMPSONS 15-THOMPSONS 0","tx2-7361-7346-1","7361","7346",2.6E-4,0.02464,0.0,0.0,0.0,471.0,0.0,0.0
"tx2-7360-7346-1:wnd1","THOMPSONS 14-THOMPSONS 0","tx2-7360-7346-1","7360","7346",2.1E-4,0.01514,0.0,0.0,0.0,845.0,0.0,0.0
"tx2-7359-7346-1:wnd1","THOMPSONS 13-THOMPSONS 0","tx2-7359-7346-1","7359","7346",1.3E-4,0.00906,0.0,0.0,0.0,846.0,0.0,0.0
"tx2-7358-7346-1:wnd1","THOMPSONS 12-THOMPSONS 0","tx2-7358-7346-1","7358","7346",3.0E-4,0.02129,0.0,0.0,0.0,835.0,0.0,0.0
"tx2-7357-7346-1:wnd1","THOMPSONS 11-THOMPSONS 0","tx2-7357-7346-1","7357","7346",6.6E-4,0.04067,0.0,0.0,0.0,287.0,0.0,0.0
"tx2-7356-7346-1:wnd1","THOMPSONS 10-THOMPSONS 0","tx2-7356-7346-1","7356","7346",1.2E-4,0.00609,0.0,0.0,0.0,1219.0,0.0,0.0
"tx2-7355-7346-1:wnd1","THOMPSONS 9-THOMPSONS 0","tx2-7355-7346-1","7355","7346",6.0E-5,0.00677,0.0,0.0,0.0,1218.0,0.0,0.0
"tx2-7354-7346-1:wnd1","THOMPSONS 8-THOMPSONS 0","tx2-7354-7346-1","7354","7346",6.0E-5,0.00671,0.0,0.0,0.0,1222.0,0.0,0.0
"tx2-7353-7346-1:wnd1","THOMPSONS 7-THOMPSONS 0","tx2-7353-7346-1","7353","7346",1.9E-4,0.01203,0.0,0.0,0.0,1225.0,0.0,0.0
"tx2-7352-7346-1:wnd1","THOMPSONS 6-THOMPSONS 0","tx2-7352-7346-1","7352","7346",3.4E-4,0.01655,0.0,0.0,0.0,1025.0,0.0,0.0
"tx2-7351-7346-1:wnd1","THOMPSONS 5-THOMPSONS 0","tx2-7351-7346-1","7351","7346",3.1E-4,0.01784,0.0,0.0,0.0,1018.0,0.0,0.0
"tx2-7350-7346-1:wnd1","THOMPSONS 4-THOMPSONS 0","tx2-7350-7346-1","7350","7346",2.2E-4,0.01346,0.0,0.0,0.0,1021.0,0.0,0.0
"tx2-7349-7346-1:wnd1","THOMPSONS 3-THOMPSONS 0","tx2-7349-7346-1","7349","7346",8.0E-5,0.00563,0.0,0.0,0.0,1019.0,0.0,0.0
"tx2-7347-7346-2:wnd1","THOMPSONS 1-THOMPSONS 0","tx2-7347-7346-2","7347","7346",1.4E-4,0.00986,0.0,0.0,0.0,1271.0,0.0,0.0
"tx2-7347-7346-1:wnd1","THOMPSONS 1-THOMPSONS 0","tx2-7347-7346-1","7347","7346",1.4E-4,0.00986,0.0,0.0,0.0,1271.0,0.0,0.0
"tx2-7343-7342-2:wnd1","KATY 3 2-KATY 3 1","tx2-7343-7342-2","7343","7342",0.00185,0.0832,0.0,0.0,0.0,190.0,0.0,0.0
"tx2-7343-7342-1:wnd1","KATY 3 2-KATY 3 1","tx2-7343-7342-1","7343","7342",0.00185,0.0832,0.0,0.0,0.0,190.0,0.0,0.0
"tx2-7342-7341-1:wnd1","KATY 3 1-KATY 3 0","tx2-7342-7341-1","7342","7341",1.7E-4,0.01252,0.0,0.0,0.0,1311.0,0.0,0.0
"tx2-7333-7332-3:wnd1","PASADENA 1 2-PASADENA 1 1","tx2-7333-7332-3","7333","7332",9.3E-4,0.03886,0.0,0.0,0.0,280.8,0.0,0.0
"tx2-7333-7332-2:wnd1","PASADENA 1 2-PASADENA 1 1","tx2-7333-7332-2","7333","7332",9.3E-4,0.03886,0.0,0.0,0.0,280.8,0.0,0.0
"tx2-7333-7332-1:wnd1","PASADENA 1 2-PASADENA 1 1","tx2-7333-7332-1","7333","7332",9.3E-4,0.03886,0.0,0.0,0.0,280.8,0.0,0.0
"tx2-7335-7331-1:wnd1","PASADENA 1 4-PASADENA 1 0","tx2-7335-7331-1","7335","7331",1.7E-4,0.0093,0.0,0.0,0.0,1106.0,0.0,0.0
"tx2-7334-7331-1:wnd1","PASADENA 1 3-PASADENA 1 0","tx2-7334-7331-1","7334","7331",8.3E-4,0.0414,0.0,0.0,0.0,244.0,0.0,0.0
"tx2-7332-7331-1:wnd1","PASADENA 1 1-PASADENA 1 0","tx2-7332-7331-1","7332","7331",2.4E-4,0.01699,0.0,0.0,0.0,1122.0,0.0,0.0
"tx2-7329-7327-1:wnd1","NEWGULF 2-NEWGULF 0","tx2-7329-7327-1","7329","7327",0.00104,0.04807,0.0,0.0,0.0,190.0,0.0,0.0
"tx2-7328-7327-1:wnd1","NEWGULF 1-NEWGULF 0","tx2-7328-7327-1","7328","7327",0.00161,0.04271,0.0,0.0,0.0,172.0,0.0,0.0
"tx2-7322-7321-1:wnd1","FREEPORT 1 2-FREEPORT 1 1","tx2-7322-7321-1","7322","7321",0.00198,0.07214,0.0,0.0,0.0,128.4,0.0,0.0
"tx2-7326-7320-1:wnd1","FREEPORT 1 6-FREEPORT 1 0","tx2-7326-7320-1","7326","7320",1.7E-4,0.01413,0.0,0.0,0.0,568.0,0.0,0.0
"tx2-7325-7320-1:wnd1","FREEPORT 1 5-FREEPORT 1 0","tx2-7325-7320-1","7325","7320",3.0E-4,0.02899,0.0,0.0,0.0,581.0,0.0,0.0
"tx2-7324-7320-1:wnd1","FREEPORT 1 4-FREEPORT 1 0","tx2-7324-7320-1","7324","7320",3.2E-4,0.02884,0.0,0.0,0.0,577.0,0.0,0.0
"tx2-7323-7320-1:wnd1","FREEPORT 1 3-FREEPORT 1 0","tx2-7323-7320-1","7323","7320",3.6E-4,0.02134,0.0,0.0,0.0,584.0,0.0,0.0
"tx2-7321-7320-1:wnd1","FREEPORT 1 1-FREEPORT 1 0","tx2-7321-7320-1","7321","7320",2.3E-4,0.01682,0.0,0.0,0.0,1000.0,0.0,0.0
"tx2-7313-7312-1:wnd1","LAKE JACKS~2-LAKE JACKS~1","tx2-7313-7312-1","7313","7312",9.7E-4,0.06614,0.0,0.0,0.0,168.0,0.0,0.0
"tx2-7306-7305-1:wnd1","WHARTON 1 2-WHARTON 1 1","tx2-7306-7305-1","7306","7305",7.8E-4,0.04744,0.0,0.0,0.0,305.0,0.0,0.0
"tx2-7311-7304-1:wnd1","WHARTON 1 7-WHARTON 1 0","tx2-7311-7304-1","7311","7304",1.9E-4,0.01172,0.0,0.0,0.0,729.0,0.0,0.0
"tx2-7310-7304-1:wnd1","WHARTON 1 6-WHARTON 1 0","tx2-7310-7304-1","7310","7304",6.3E-4,0.03797,0.0,0.0,0.0,464.0,0.0,0.0
"tx2-7309-7304-1:wnd1","WHARTON 1 5-WHARTON 1 0","tx2-7309-7304-1","7309","7304",5.6E-4,0.04001,0.0,0.0,0.0,454.0,0.0,0.0
"tx2-7308-7304-1:wnd1","WHARTON 1 4-WHARTON 1 0","tx2-7308-7304-1","7308","7304",2.1E-4,0.02062,0.0,0.0,0.0,459.0,0.0,0.0
"tx2-7307-7304-1:wnd1","WHARTON 1 3-WHARTON 1 0","tx2-7307-7304-1","7307","7304",3.5E-4,0.02169,0.0,0.0,0.0,473.0,0.0,0.0
"tx2-7305-7304-1:wnd1","WHARTON 1 1-WHARTON 1 0","tx2-7305-7304-1","7305","7304",1.7E-4,0.01241,0.0,0.0,0.0,1160.0,0.0,0.0
"tx2-7289-7282-1:wnd1","BAYTOWN 3 7-BAYTOWN 3 0","tx2-7289-7282-1","7289","7282",0.00155,0.07083,0.0,0.0,0.0,124.0,0.0,0.0
"tx2-7288-7282-1:wnd1","BAYTOWN 3 6-BAYTOWN 3 0","tx2-7288-7282-1","7288","7282",0.00467,0.19001,0.0,0.0,0.0,93.0,0.0,0.0
"tx2-7287-7282-1:wnd1","BAYTOWN 3 5-BAYTOWN 3 0","tx2-7287-7282-1","7287","7282",0.00328,0.17841,0.0,0.0,0.0,91.0,0.0,0.0
"tx2-7286-7282-1:wnd1","BAYTOWN 3 4-BAYTOWN 3 0","tx2-7286-7282-1","7286","7282",0.00545,0.20611,0.0,0.0,0.0,93.0,0.0,0.0
"tx2-7285-7282-1:wnd1","BAYTOWN 3 3-BAYTOWN 3 0","tx2-7285-7282-1","7285","7282",0.00137,0.08957,0.0,0.0,0.0,93.0,0.0,0.0
"tx2-7284-7282-1:wnd1","BAYTOWN 3 2-BAYTOWN 3 0","tx2-7284-7282-1","7284","7282",0.00703,0.26257,0.0,0.0,0.0,70.0,0.0,0.0
"tx2-7283-7282-1:wnd1","BAYTOWN 3 1-BAYTOWN 3 0","tx2-7283-7282-1","7283","7282",0.00254,0.07063,0.0,0.0,0.0,145.0,0.0,0.0
