ID,GeneratingUnit,FROMP,TOP,FROMPRICE,TOPRICE
280,gen-6073-1,0,181.37,17.442,17.442
281,gen-6074-1,0,181.37,17.442,17.442
282,gen-6078-1,0,563.33,17.597,17.597
283,gen-6079-1,0,563.33,17.597,17.597
284,gen-6080-1,0,563.33,17.597,17.597
285,gen-6082-1,0,22,0,0
286,gen-6083-1,0,22,0,0
287,gen-6085-1,0,1.4,0,0
288,gen-6086-1,0,30,0,0
289,gen-6087-1,0,5.5,0,0
290,gen-6088-1,0,10.6,0,0
291,gen-6089-1,0,13.9,0,0
292,gen-6090-1,0,40.7,0,0
293,gen-6104-1,0,60.5,16.855,16.855
294,gen-6105-1,0,60.5,16.855,16.855
295,gen-6106-1,0,121,17.149,17.149
296,gen-6110-1,0,590.6,17.597,17.597
297,gen-6111-1,0,661.5,17.597,17.597
298,gen-6144-1,0,8.4,15.411,15.411
299,gen-6145-1,0,446,17.383,17.383
300,gen-6146-1,0,446,17.383,17.383
301,gen-6147-1,0,932,19.572,19.572
302,gen-6148-1,0,722,18.626,18.626
303,gen-6149-1,0,722,18.626,18.626
304,gen-6164-1,0,235.05,17.702,17.702
305,gen-6165-1,0,235.05,17.702,17.702
306,gen-6166-1,0,235.05,17.702,17.702
307,gen-6167-1,0,235.05,17.702,17.702
308,gen-6213-1,0,60,0,0
309,gen-6214-1,0,186.33,0,0
310,gen-6215-1,0,186.33,0,0
311,gen-6216-1,0,186.33,0,0
312,gen-6242-1,0,61,15.648,15.648
313,gen-6243-1,0,183,16.197,16.197
314,gen-6244-1,0,298,16.716,16.716
315,gen-6245-1,0,298,16.716,16.716
316,gen-6246-1,0,298,16.716,16.716
317,gen-6247-1,0,183.33,16.199,16.199
318,gen-6248-1,0,183.33,16.199,16.199
319,gen-6249-1,0,183.33,16.199,16.199
320,gen-6257-1,0,194,17.503,17.503
321,gen-6258-1,0,194,17.503,17.503
322,gen-6259-1,0,51.4,16.811,16.811
323,gen-6260-1,0,257,17.809,17.809
324,gen-6266-1,0,1.5,0,0
325,gen-6267-1,0,2.4,0,0
326,gen-6268-1,0,1.5,0,0
327,gen-6269-1,0,2.4,0,0
328,gen-6270-1,0,6,0,0
329,gen-6271-1,0,3.6,0,0
330,gen-6272-1,0,2.4,0,0
331,gen-6273-1,0,2.4,0,0
332,gen-6274-1,0,2.8,0,0
333,gen-6295-1,0,206.23,17.562,17.562
334,gen-6296-1,0,206.23,17.562,17.562
335,gen-6297-1,0,206.23,17.562,17.562
336,gen-6301-1,0,3.2,16.577,16.577
337,gen-6302-1,0,247.25,17.762,17.762
338,gen-6303-1,0,247.25,17.762,17.762
339,gen-6304-1,0,247.25,17.762,17.762
340,gen-6305-1,0,247.25,17.762,17.762
341,gen-6346-1,0,92,0,0
342,gen-6349-1,0,12,16.62,16.62
343,gen-6349-10,0,51.5,16.811,16.811
344,gen-6349-11,0,103,17.061,17.061
345,gen-6349-2,0,2.3,16.572,16.572
346,gen-6349-3,0,4.6,16.584,16.584
347,gen-6349-4,0,1.5,16.569,16.569
348,gen-6349-5,0,4,16.581,16.581
349,gen-6349-6,0,6.4,16.592,16.592
350,gen-6349-7,0,363,18.323,18.323
351,gen-6349-8,0,363,18.323,18.323
352,gen-6349-9,0,51.5,16.811,16.811
353,gen-7005-1,0,163,15.681,15.681
354,gen-7006-1,0,163,15.681,15.681
355,gen-7007-1,0,163,15.681,15.681
356,gen-7008-1,0,163,15.681,15.681
357,gen-7009-1,0,163,15.681,15.681
358,gen-7015-1,0,4,14.983,14.983
359,gen-7021-1,0,22.4,16.624,16.624
360,gen-7022-1,0,47.4,16.745,16.745
361,gen-7023-1,0,47.4,16.745,16.745
362,gen-7024-1,0,94.8,16.974,16.974
363,gen-7025-1,0,3.2,16.531,16.531
364,gen-7031-1,0,38.8,0,0
365,gen-7032-1,0,10,0,0
366,gen-7033-1,0,10,0,0
367,gen-7034-1,0,4.4,0,0
368,gen-7045-1,0,188.45,17.428,17.428
369,gen-7046-1,0,188.45,17.428,17.428
370,gen-7061-1,0,114.9,17.072,17.072
371,gen-7062-1,0,114.9,17.072,17.072
372,gen-7063-1,0,114.9,17.072,17.072
373,gen-7064-1,0,114.9,17.072,17.072
374,gen-7065-1,0,114.9,17.072,17.072
375,gen-7066-1,0,114.9,17.072,17.072
376,gen-7079-1,0,228.65,15.969,15.969
377,gen-7080-1,0,228.65,15.969,15.969
378,gen-7081-1,0,228.65,15.969,15.969
379,gen-7082-1,0,228.65,15.969,15.969
380,gen-7098-1,0,1354.3,7.063,7.063
381,gen-7099-1,0,1354.3,7.445,7.445
382,gen-7107-1,0,150,15.624,15.624
383,gen-7108-1,0,51,15.19,15.19
384,gen-7109-1,0,51,15.19,15.19
385,gen-7110-1,0,196,15.826,15.826
386,gen-7111-1,0,196,15.826,15.826
387,gen-7112-1,0,196,15.826,15.826
388,gen-7113-1,0,196,15.826,15.826
389,gen-7114-1,0,196,15.826,15.826
390,gen-7115-1,0,196,15.826,15.826
391,gen-7121-1,0,3.7,14.982,14.982
392,gen-7122-1,0,4.3,14.985,14.985
393,gen-7133-1,0,16.3,15.037,15.037
394,gen-7134-1,0,206.55,15.872,15.872
395,gen-7135-1,0,206.55,15.872,15.872
396,gen-7136-1,0,206.55,15.872,15.872
397,gen-7137-1,0,206.55,15.872,15.872
398,gen-7138-1,0,380.7,16.636,16.636
399,gen-7139-1,0,59,15.225,15.225
400,gen-7140-1,0,59,15.225,15.225
401,gen-7141-1,0,59,15.225,15.225
402,gen-7142-1,0,59,15.225,15.225
403,gen-7146-1,0,10.2,15.011,15.011
404,gen-7162-1,0,110.6,15.451,15.451
405,gen-7163-1,0,110.6,15.451,15.451
406,gen-7164-1,0,110.6,15.451,15.451
407,gen-7165-1,0,110.6,15.451,15.451
408,gen-7166-1,0,110.6,15.451,15.451
409,gen-7167-1,0,110.6,15.451,15.451
410,gen-7168-1,0,87.72,15.351,15.351
411,gen-7169-1,0,87.72,15.351,15.351
412,gen-7170-1,0,350.87,16.505,16.505
413,gen-7189-1,0,6.9,14.996,14.996
414,gen-7190-1,0,48,15.177,15.177
415,gen-7191-1,0,5,14.988,14.988
416,gen-7192-1,0,35,15.119,15.119
417,gen-7193-1,0,7.5,14.999,14.999
418,gen-7194-1,0,230.95,15.979,15.979
419,gen-7195-1,0,230.95,15.979,15.979
420,gen-7196-1,0,230.95,15.979,15.979
421,gen-7197-1,0,230.95,15.979,15.979
422,gen-7207-1,0,4,14.983,14.983
423,gen-7208-1,0,765,18.322,18.322
424,gen-7209-1,0,765,18.322,18.322
425,gen-7210-1,0,178.5,15.749,15.749
426,gen-7211-1,0,178.5,15.749,15.749
427,gen-7212-1,0,178.5,15.749,15.749
428,gen-7266-1,0,304.6,16.302,16.302
429,gen-7267-1,0,90.64,15.364,15.364
430,gen-7268-1,0,90.64,15.364,15.364
431,gen-7269-1,0,90.64,15.364,15.364
432,gen-7270-1,0,181.28,15.761,15.761
433,gen-7280-1,0,25.7,15.079,15.079
434,gen-7281-1,0,15,15.032,15.032
435,gen-7284-1,0,7.5,0,0
436,gen-7285-1,0,28.3,0,0
437,gen-7286-1,0,28.3,0,0
438,gen-7287-1,0,28.3,0,0
439,gen-7288-1,0,28.3,0,0
440,gen-7289-1,0,56.6,0,0
441,gen-7307-1,0,96.68,16.984,16.984
442,gen-7308-1,0,96.68,16.984,16.984
443,gen-7309-1,0,96.68,16.984,16.984
444,gen-7310-1,0,96.68,16.984,16.984
445,gen-7311-1,0,193.37,17.452,17.452
446,gen-7323-1,0,124.48,15.512,15.512
447,gen-7324-1,0,124.48,15.512,15.512
448,gen-7325-1,0,124.48,15.512,15.512
449,gen-7326-1,0,124.48,15.512,15.512
450,gen-7329-1,0,101.9,17.009,17.009
451,gen-7334-1,0,4.7,18.671,18.671
452,gen-7335-1,0,453.5,18.671,18.671
453,gen-7349-1,0,313.83,16.343,16.343
454,gen-7350-1,0,313.83,16.343,16.343
455,gen-7351-1,0,313.83,16.343,16.343
456,gen-7352-1,0,313.83,16.343,16.343
457,gen-7353-1,0,684.2,17.967,17.967
458,gen-7354-1,0,684.2,17.967,17.967
459,gen-7355-1,0,684.2,17.967,17.967
460,gen-7356-1,0,684.2,17.967,17.967
461,gen-7357-1,0,16.3,15.037,15.037
462,gen-7358-1,0,225.2,15.954,15.954
463,gen-7359-1,0,225.2,15.954,15.954
464,gen-7360-1,0,225.2,15.954,15.954
465,gen-7361-1,0,102.7,15.416,15.416
466,gen-7369-1,0,107.27,15.437,15.437
467,gen-7370-1,0,107.27,15.437,15.437
468,gen-7371-1,0,107.27,15.437,15.437
469,gen-7372-1,0,107.27,15.437,15.437
470,gen-7373-1,0,107.27,15.437,15.437
471,gen-7374-1,0,107.27,15.437,15.437
472,gen-7375-1,0,183.66,15.772,15.772
473,gen-7376-1,0,183.66,15.772,15.772
474,gen-7377-1,0,183.66,15.772,15.772
475,gen-7378-1,0,183.66,15.772,15.772
476,gen-7379-1,0,183.66,15.772,15.772
477,gen-7389-1,0,542.8,17.347,17.347
478,gen-7400-1,0,72,15.282,15.282
479,gen-7400-2,0,72,15.282,15.282
480,gen-7400-3,0,72,15.282,15.282
481,gen-7400-4,0,72,15.282,15.282
482,gen-7400-5,0,144,15.598,15.598
483,gen-7400-6,0,446.4,16.924,16.924
484,gen-7406-1,0,63.1,16.821,16.821
485,gen-7406-2,0,310,18.016,18.016
486,gen-7414-1,0,102.4,17.011,17.011
487,gen-7419-1,0,88.2,15.353,15.353
488,gen-7419-2,0,88.2,15.353,15.353
489,gen-7422-1,0,6.8,14.996,14.996
490,gen-7422-10,0,172.2,15.721,15.721
491,gen-7422-11,0,172.2,15.721,15.721
492,gen-7422-2,0,112.5,15.459,15.459
493,gen-7422-3,0,112.5,15.459,15.459
494,gen-7422-4,0,112.5,15.459,15.459
495,gen-7422-5,0,112.5,15.459,15.459
496,gen-7422-6,0,191.1,15.804,15.804
497,gen-7422-7,0,172.2,15.721,15.721
498,gen-7422-8,0,172.2,15.721,15.721
499,gen-7422-9,0,172.2,15.721,15.721
500,gen-7428-1,0,100.52,15.407,15.407
501,gen-7428-10,0,130,15.536,15.536
502,gen-7428-11,0,130,15.536,15.536
503,gen-7428-2,0,100.52,15.407,15.407
504,gen-7428-3,0,100.52,15.407,15.407
505,gen-7428-4,0,100.52,15.407,15.407
506,gen-7428-5,0,100.52,15.407,15.407
507,gen-7428-6,0,100.52,15.407,15.407
508,gen-7428-7,0,75,15.295,15.295
509,gen-7428-8,0,81,15.321,15.321
510,gen-7428-9,0,11.7,15.017,15.017
511,gen-8024-1,0,44,0,0
512,gen-8033-1,0,234.93,19.422,19.422
513,gen-8034-1,0,234.93,19.422,19.422
514,gen-8035-1,0,234.93,19.422,19.422
515,gen-8036-1,0,234.93,19.422,19.422
516,gen-8046-1,0,172.67,19.09,19.09
517,gen-8047-1,0,172.67,19.09,19.09
518,gen-8048-1,0,172.67,19.09,19.09
519,gen-8049-1,0,172.67,19.09,19.09
520,gen-8050-1,0,172.67,19.09,19.09
521,gen-8051-1,0,172.67,19.09,19.09
522,gen-8060-1,0,593.4,18.671,18.671
523,gen-8061-1,0,593.4,18.671,18.671
524,gen-8070-1,0,924.9,18.671,18.671
525,gen-8071-1,0,924.9,18.671,18.671
526,gen-8077-1,0,234.9,16.202,16.202
527,gen-8078-1,0,234.9,16.202,16.202
528,gen-8079-1,0,234.9,16.202,16.202
529,gen-8080-1,0,234.9,16.202,16.202
530,gen-8087-1,0,897.7,18.671,18.671
531,gen-8088-1,0,897.7,18.671,18.671
532,gen-8099-1,0,114,0,0
533,gen-8115-1,0,10,21.838,21.838
534,gen-8116-1,0,351.7,21.838,21.838
535,gen-8117-1,0,351.7,21.838,21.838
536,gen-8129-1,0,660,16.843,16.843
537,gen-8130-1,0,660,16.843,16.843
538,gen-8131-1,0,660,16.843,16.843
539,gen-8147-1,0,4,21.838,21.838
540,gen-8147-2,0,239.3,21.838,21.838
541,gen-8152-1,0,22,18.287,18.287
542,gen-8155-1,0,174.6,18.671,18.671
543,gen-8155-2,0,174.6,18.671,18.671
544,gen-8158-1,0,105,18.73,18.73
545,gen-8158-2,0,98.2,18.693,18.693
