"ID","MW","MWSetPoint","GeneratorOperatingMode","InService","MinOperatingMW","MaxOperatingMW","RampRate"
"gen-3071-1",140.97125,140.88254,LFC,true,51.06,170.2,0.0
"gen-3074-1",82.661156,82.60914,LFC,true,29.94,99.8,0.0
"gen-3081-1",206.23882,206.10907,LFC,true,74.7,249.0,0.0
"gen-3084-1",192.57234,192.45117,LFC,true,69.75,232.5,0.0
"gen-3086-1",62.12013,62.08104,LFC,true,22.5,75.0,0.0
"gen-3092-1",165.65364,165.5494,LFC,true,60.0,200.0,0.0
"gen-3095-1",70.659775,70.59692,LFC,true,36.18,120.6,0.0
"gen-3098-1",132.52292,132.43953,LFC,true,48.0,160.0,0.0
"gen-3105-1",14.999618,15.000001,LFC,true,4.5,15.0,8.9
"gen-3106-1",54.8986,54.9,LFC,true,16.47,54.9,32.56
"gen-3110-1",69.57453,69.53075,LFC,true,25.2,84.0,0.0
"gen-3112-1",61.954453,61.91547,LFC,true,22.44,74.8,0.0
"gen-3113-1",61.954453,61.91547,LFC,true,22.44,74.8,0.0
"gen-3117-1",52.180893,52.148064,LFC,true,18.9,63.0,0.0
"gen-3118-1",54.11837,54.05583,LFC,true,36.0,120.0,0.0
"gen-3120-1",10.248584,10.226934,LFC,true,11.88,39.6,0.0
"gen-3122-1",112.06495,111.96228,LFC,true,59.1,197.0,0.0
"gen-3127-1",94.439735,94.36938,LFC,true,40.5,135.0,0.0
"gen-3129-1",104.775955,104.71003,LFC,true,37.95,126.5,0.0
"gen-3131-1",76.44318,76.383766,LFC,true,34.2,114.0,0.0
"gen-3137-1",26.19082,26.135496,LFC,true,30.36,101.2,0.0
"gen-3141-1",75.78655,75.73886,LFC,true,27.45,91.5,0.0
"gen-4010-1",113.03448,112.929405,LFC,true,60.48,201.6,0.0
"gen-4026-1",409.98956,410.0,LFC,true,123.0,410.0,8.2
"gen-4030-1",622.38416,622.4,LFC,true,186.72,622.4,12.448
"gen-4045-1",31.499195,31.5,LFC,true,9.45,31.5,18.68
"gen-4046-1",9.599755,9.6,LFC,true,2.88,9.6,5.7
"gen-4047-1",65.998314,66.0,LFC,true,19.8,66.0,39.14
"gen-4050-1",165.65364,165.5494,LFC,true,60.0,200.0,0.0
"gen-4052-1",44.19887,44.2,LFC,true,13.26,44.2,2.21
"gen-4058-1",143.99634,144.0,LFC,true,43.2,144.0,7.2
"gen-4059-1",143.99634,144.0,LFC,true,43.2,144.0,7.2
"gen-4060-1",143.99634,144.0,LFC,true,43.2,144.0,7.2
"gen-4061-1",172.32559,172.33,LFC,true,51.7,172.33,8.6165
"gen-4062-1",172.32559,172.33,LFC,true,51.7,172.33,8.6165
"gen-4063-1",172.32559,172.33,LFC,true,51.7,172.33,8.6165
"gen-4065-1",46.9988,47.0,LFC,true,14.1,47.0,2.35
"gen-4076-1",45.63549,45.53909,LFC,true,52.9,176.33,8.8165
"gen-4077-1",45.63549,45.53909,LFC,true,52.9,176.33,8.8165
"gen-4082-1",73.14686,73.02,LFC,true,73.02,243.4,12.17
"gen-4083-1",73.14686,73.02,LFC,true,73.02,243.4,12.17
"gen-4084-1",73.14686,73.02,LFC,true,73.02,243.4,12.17
"gen-4085-1",105.783424,105.59999,LFC,true,105.6,352.0,17.6
"gen-4091-1",23.4994,23.5,LFC,true,7.05,23.5,0.47
"gen-4093-1",27.999285,28.0,LFC,true,8.4,28.0,0.56
"gen-4094-1",27.999285,28.0,LFC,true,8.4,28.0,0.56
"gen-4095-1",27.999285,28.0,LFC,true,8.4,28.0,0.56
"gen-4097-1",27.999285,28.0,LFC,true,8.4,28.0,0.56
"gen-4105-1",149.08827,148.99446,LFC,true,54.0,180.0,0.0
"gen-4115-1",34.110184,34.038128,LFC,true,39.54,131.8,6.59
"gen-4116-1",34.110184,34.038128,LFC,true,39.54,131.8,6.59
"gen-4134-1",10.097511,10.08,LFC,true,10.08,33.6,1.68
"gen-4135-1",10.097511,10.08,LFC,true,10.08,33.6,1.68
"gen-4136-1",10.097511,10.08,LFC,true,10.08,33.6,1.68
"gen-4142-1",155.71442,155.61644,LFC,true,56.4,188.0,0.0
"gen-4153-1",73.29291,73.138084,LFC,true,84.96,283.2,0.0
"gen-4160-1",185.28821,185.18513,LFC,true,59.33,197.77,9.8885
"gen-4161-1",197.76495,197.77,LFC,true,59.33,197.77,9.8885
"gen-4162-1",197.76495,197.77,LFC,true,59.33,197.77,9.8885
"gen-4166-1",166.48195,166.37718,LFC,true,60.3,201.0,0.0
"gen-4177-1",110.61049,110.53231,LFC,true,45.0,150.0,0.0
"gen-4181-1",165.7365,165.6322,LFC,true,60.03,200.1,0.0
"gen-4183-1",74.92654,74.82073,LFC,true,60.9,203.0,0.0
"gen-4192-1",74.998085,75.0,LFC,true,22.5,75.0,3.75
"gen-4192-10",183.76532,183.77,LFC,true,55.13,183.77,9.1885
"gen-4192-3",60.998447,61.0,LFC,true,18.3,61.0,3.05
"gen-4192-4",10.3997345,10.4,LFC,true,3.12,10.4,0.52
"gen-4192-5",74.3016,74.15563,LFC,true,80.1,267.0,13.35
"gen-4192-6",80.23915,80.1,LFC,true,80.1,267.0,13.35
"gen-4192-7",80.23915,80.1,LFC,true,80.1,267.0,13.35
"gen-4192-8",183.76532,183.77,LFC,true,55.13,183.77,9.1885
"gen-4192-9",183.76532,183.77,LFC,true,55.13,183.77,9.1885
"gen-5002-1",66.19471,66.089645,LFC,true,60.48,201.6,0.0
"gen-5020-1",99.39221,99.329666,LFC,true,36.0,120.0,0.0
"gen-5037-1",118.01969,117.85891,LFC,true,92.54,308.47,0.32
"gen-5038-1",308.46216,308.47,LFC,true,92.54,308.47,15.4235
"gen-5039-1",308.46216,308.47,LFC,true,92.54,308.47,15.4235
"gen-5040-1",308.46216,308.47,LFC,true,92.54,308.47,15.4235
"gen-5041-1",308.46216,308.47,LFC,true,92.54,308.47,15.4235
"gen-5042-1",308.46216,308.47,LFC,true,92.54,308.47,15.4235
"gen-5051-1",84.69783,84.7,LFC,true,25.41,84.7,15.4235
"gen-5058-1",317.3419,317.35,LFC,true,95.2,317.35,15.8675
"gen-5065-1",10.5997305,10.6,LFC,true,3.18,10.6,15.8675
"gen-5067-1",352.2052,351.97678,LFC,true,131.48,438.27,0.09
"gen-5068-1",131.7084,131.48,LFC,true,131.48,438.27,21.9135
"gen-5069-1",131.7084,131.48,LFC,true,131.48,438.27,21.9135
"gen-5166-1",118.45593,118.390015,LFC,true,37.95,126.5,0.114
"gen-5167-1",1.5999593,1.6,LFC,true,0.48,1.6,6.325
"gen-5170-1",59.2961,59.26483,LFC,true,18.0,60.0,0.08
"gen-5198-1",124.24026,124.16208,LFC,true,45.0,150.0,0.0
"gen-5206-1",205.96547,205.83586,LFC,true,74.6,248.67,0.0
"gen-5207-1",248.66367,248.67001,LFC,true,74.6,248.67,12.4335
"gen-5208-1",248.66367,248.67001,LFC,true,74.6,248.67,12.4335
"gen-5238-1",224.99425,225.0,LFC,true,67.5,225.0,12.4335
"gen-5243-1",124.24026,124.16208,LFC,true,45.0,150.0,0.0
"gen-5262-1",1006.34576,1005.7125,LFC,true,364.5,1215.0,0.0
"gen-5263-1",1006.34576,1005.7125,LFC,true,364.5,1215.0,0.0
"gen-5281-1",221.75221,221.61269,LFC,true,80.32,267.73,0.0
"gen-5282-1",80.459526,80.32,LFC,true,80.32,267.73,13.3865
"gen-5298-1",114.450874,114.390945,LFC,true,34.5,115.0,0.16
"gen-5299-1",114.99706,115.0,LFC,true,34.5,115.0,5.75
"gen-5300-1",114.99706,115.0,LFC,true,34.5,115.0,5.75
"gen-5301-1",82.69788,82.7,LFC,true,24.81,82.7,5.75
"gen-5302-1",139.3717,139.13,LFC,true,139.13,463.75,4.135
"gen-5303-1",139.3717,139.13,LFC,true,139.13,463.75,23.1875
"gen-5319-1",78.97696,78.84,LFC,true,78.84,262.8,23.1875
"gen-5321-1",78.97696,78.84,LFC,true,78.84,262.8,13.14
"gen-5324-1",284.06277,284.07,LFC,true,85.22,284.07,13.14
"gen-5325-1",284.06277,284.07,LFC,true,85.22,284.07,14.2035
"gen-5326-1",284.06277,284.07,LFC,true,85.22,284.07,14.2035
"gen-5342-1",2.7999284,2.8,LFC,true,0.84,2.8,14.2035
"gen-5343-1",69.99821,70.0,LFC,true,21.0,70.0,1.68
"gen-5360-1",302.92532,302.4,LFC,true,302.4,1008.0,41.5
"gen-5363-1",10.3997345,10.4,LFC,true,3.12,10.4,20.16
"gen-5364-1",213.32457,213.33,LFC,true,64.0,213.33,0.52
"gen-5365-1",213.32457,213.33,LFC,true,64.0,213.33,10.6665
"gen-5366-1",213.32457,213.33,LFC,true,64.0,213.33,10.6665
"gen-5367-1",213.32457,213.33,LFC,true,64.0,213.33,10.6665
"gen-5368-1",213.32457,213.33,LFC,true,64.0,213.33,10.6665
"gen-5369-1",213.32457,213.33,LFC,true,64.0,213.33,10.6665
"gen-5382-1",208.99464,208.99998,LFC,true,62.7,209.0,10.6665
"gen-5383-1",208.99464,208.99998,LFC,true,62.7,209.0,10.45
"gen-5399-1",165.59576,165.6,LFC,true,49.68,165.6,10.45
"gen-5403-1",74.04717,74.00058,LFC,true,26.82,89.4,0.0
"gen-5404-1",89.39772,89.4,LFC,true,26.82,89.4,4.47
"gen-5405-1",89.39772,89.4,LFC,true,26.82,89.4,4.47
"gen-5406-1",89.39772,89.4,LFC,true,26.82,89.4,4.47
"gen-5415-1",121.996895,122.0,LFC,true,36.6,122.0,4.47
"gen-5416-1",121.996895,122.0,LFC,true,36.6,122.0,6.1
"gen-5417-1",121.996895,122.0,LFC,true,36.6,122.0,6.1
"gen-5418-1",118.79698,118.80001,LFC,true,35.64,118.8,6.1
"gen-5419-1",118.79698,118.80001,LFC,true,35.64,118.8,5.94
"gen-5423-1",12.399683,12.4,LFC,true,3.72,12.4,5.94
"gen-5444-4",86.85062,86.7,LFC,true,86.7,289.0,14.45
"gen-5444-5",86.85062,86.7,LFC,true,86.7,289.0,14.45
"gen-5444-7",42.463642,42.39,LFC,true,42.39,141.3,14.45
"gen-5444-8",42.463642,42.39,LFC,true,42.39,141.3,7.065
"gen-6006-1",64.01101,63.9,LFC,true,63.9,213.0,7.065
"gen-6008-1",198.32494,198.33,LFC,true,59.5,198.33,21.3
"gen-6009-1",198.32494,198.33,LFC,true,59.5,198.33,9.9165
"gen-6010-1",198.32494,198.33,LFC,true,59.5,198.33,9.9165
"gen-6041-1",17.999542,18.0,LFC,true,5.4,18.0,9.9165
"gen-6042-1",107.99725,108.00001,LFC,true,32.4,108.0,10.68
"gen-6051-1",57.398533,57.4,LFC,true,17.22,57.4,0.22
"gen-6053-1",57.398533,57.4,LFC,true,17.22,57.4,2.87
"gen-6054-1",57.398533,57.4,LFC,true,17.22,57.4,2.87
"gen-6069-1",181.36537,181.37,LFC,true,54.41,181.37,2.87
"gen-6070-1",181.36537,181.37,LFC,true,54.41,181.37,9.0685
"gen-6071-1",181.36537,181.37,LFC,true,54.41,181.37,9.0685
"gen-6073-1",181.36537,181.37,LFC,true,54.41,181.37,9.0685
"gen-6074-1",181.36537,181.37,LFC,true,54.41,181.37,9.0685
"gen-6078-1",169.2936,169.0,LFC,true,169.0,563.33,9.0685
"gen-6079-1",169.2936,169.0,LFC,true,169.0,563.33,11.2666
"gen-6080-1",169.2936,169.0,LFC,true,169.0,563.33,11.2666
"gen-6082-1",21.999437,22.0,LFC,true,6.6,22.0,11.2666
"gen-6083-1",21.999437,22.0,LFC,true,6.6,22.0,13.06
"gen-6085-1",1.3999642,1.4,LFC,true,0.42,1.4,13.06
"gen-6086-1",24.848053,24.832417,LFC,true,9.0,30.0,0.0
"gen-6088-1",8.779643,8.774118,LFC,true,3.18,10.6,0.0
"gen-6089-1",11.512929,11.505684,LFC,true,4.17,13.9,0.0
"gen-6090-1",33.71051,33.6893,LFC,true,12.21,40.7,0.0
"gen-6104-1",15.657562,15.624486,LFC,true,18.15,60.5,0.0
"gen-6105-1",60.49846,60.5,LFC,true,18.15,60.5,3.025
"gen-6106-1",120.99692,121.0,LFC,true,36.3,121.0,3.025
"gen-6110-1",177.4878,177.18,LFC,true,177.18,590.6,6.05
"gen-6111-1",198.79474,198.45,LFC,true,198.45,661.5,11.812
"gen-6145-1",159.22974,158.99731,LFC,true,133.8,446.0,0.42
"gen-6146-1",445.98862,446.0,LFC,true,133.8,446.0,22.3
"gen-6147-1",241.20403,240.6945,LFC,true,279.6,932.0,22.3
"gen-6149-1",186.8555,186.46078,LFC,true,216.6,722.0,36.1
"gen-6164-1",70.642494,70.52,LFC,true,70.52,235.05,36.1
"gen-6165-1",70.642494,70.52,LFC,true,70.52,235.05,11.7525
"gen-6166-1",70.642494,70.52,LFC,true,70.52,235.05,11.7525
"gen-6167-1",70.642494,70.52,LFC,true,70.52,235.05,11.7525
"gen-6213-1",59.99847,60.000004,LFC,true,18.0,60.0,11.7525
"gen-6214-1",186.32524,186.33,LFC,true,55.9,186.33,35.58
"gen-6215-1",186.32524,186.33,LFC,true,55.9,186.33,110.46
"gen-6216-1",186.32524,186.33,LFC,true,55.9,186.33,110.46
"gen-6242-1",60.998447,61.0,LFC,true,18.3,61.0,110.46
"gen-6243-1",182.99533,183.0,LFC,true,54.9,183.0,3.05
"gen-6244-1",297.9924,298.0,LFC,true,89.4,298.0,9.15
"gen-6245-1",297.9924,298.0,LFC,true,89.4,298.0,14.9
"gen-6246-1",297.9924,298.0,LFC,true,89.4,298.0,14.9
"gen-6247-1",183.32532,183.33,LFC,true,55.0,183.33,14.9
"gen-6248-1",183.32532,183.33,LFC,true,55.0,183.33,9.1665
"gen-6249-1",183.32532,183.33,LFC,true,55.0,183.33,9.1665
"gen-6257-1",193.99506,194.0,LFC,true,58.2,194.0,9.1665
"gen-6258-1",193.99506,194.0,LFC,true,58.2,194.0,9.7
"gen-6260-1",77.23393,77.1,LFC,true,77.1,257.0,2.57
"gen-6266-1",1.4999617,1.5,LFC,true,0.45,1.5,12.85
"gen-6267-1",2.3999388,2.4,LFC,true,0.72,2.4,0.9
"gen-6268-1",1.4999617,1.5,LFC,true,0.45,1.5,1.44
"gen-6269-1",2.3999388,2.4,LFC,true,0.72,2.4,0.9
"gen-6274-1",2.7999284,2.8,LFC,true,0.84,2.8,1.44
"gen-6295-1",61.97748,61.869995,LFC,true,61.87,206.23,1.68
"gen-6296-1",61.97748,61.869995,LFC,true,61.87,206.23,10.3115
"gen-6297-1",62.00749,61.9,LFC,true,61.9,206.23,10.3115
"gen-6302-1",185.58936,185.46048,LFC,true,74.18,247.25,0.16
"gen-6303-1",74.30885,74.18,LFC,true,74.18,247.25,12.3625
"gen-6304-1",74.30885,74.18,LFC,true,74.18,247.25,12.3625
"gen-6305-1",74.30885,74.18,LFC,true,74.18,247.25,12.3625
"gen-6346-1",91.99765,92.0,LFC,true,27.6,92.0,12.3625
"gen-6349-11",102.99736,103.0,LFC,true,30.9,103.0,5.15
"gen-6349-7",109.08919,108.9,LFC,true,108.9,363.0,18.15
"gen-6349-8",109.08919,108.9,LFC,true,108.9,363.0,18.15
"gen-7005-1",162.99583,163.0,LFC,true,48.9,163.0,8.15
"gen-7006-1",162.99583,163.0,LFC,true,48.9,163.0,8.15
"gen-7007-1",162.99583,163.0,LFC,true,48.9,163.0,8.15
"gen-7008-1",162.99583,163.0,LFC,true,48.9,163.0,8.15
"gen-7009-1",162.99583,163.0,LFC,true,48.9,163.0,8.15
"gen-7021-1",22.399427,22.4,LFC,true,6.72,22.4,1.12
"gen-7022-1",47.398792,47.4,LFC,true,14.22,47.4,2.37
"gen-7023-1",47.398792,47.4,LFC,true,14.22,47.4,2.37
"gen-7024-1",94.797585,94.8,LFC,true,28.44,94.8,4.74
"gen-7031-1",32.136814,32.116592,LFC,true,11.64,38.8,0.0
"gen-7032-1",8.282682,8.277471,LFC,true,3.0,10.0,0.0
"gen-7033-1",8.282682,8.277471,LFC,true,3.0,10.0,0.0
"gen-7045-1",56.628216,56.53,LFC,true,56.53,188.45,9.4225
"gen-7046-1",56.628216,56.53,LFC,true,56.53,188.45,9.4225
"gen-7061-1",114.89707,114.9,LFC,true,34.47,114.9,5.745
"gen-7062-1",114.89707,114.9,LFC,true,34.47,114.9,5.745
"gen-7063-1",114.89707,114.9,LFC,true,34.47,114.9,5.745
"gen-7064-1",114.89707,114.9,LFC,true,34.47,114.9,5.745
"gen-7065-1",114.89707,114.9,LFC,true,34.47,114.9,5.745
"gen-7066-1",114.89707,114.9,LFC,true,34.47,114.9,5.745
"gen-7079-1",228.64415,228.65,LFC,true,68.59,228.65,11.4325
"gen-7080-1",228.64415,228.65,LFC,true,68.59,228.65,11.4325
"gen-7081-1",228.64415,228.65,LFC,true,68.59,228.65,11.4325
"gen-7082-1",228.64415,228.65,LFC,true,68.59,228.65,11.4325
"gen-7098-1",1077.2489,1076.5431,LFC,true,406.29,1354.3,0.0
"gen-7099-1",1077.2489,1076.5431,LFC,true,406.29,1354.3,0.0
"gen-7107-1",149.99617,150.0,LFC,true,45.0,150.0,7.5
"gen-7108-1",50.9987,51.0,LFC,true,15.3,51.0,2.55
"gen-7109-1",50.9987,51.0,LFC,true,15.3,51.0,2.55
"gen-7110-1",195.995,196.0,LFC,true,58.8,196.0,9.8
"gen-7111-1",195.995,196.0,LFC,true,58.8,196.0,9.8
"gen-7112-1",195.995,196.0,LFC,true,58.8,196.0,9.8
"gen-7113-1",195.995,196.0,LFC,true,58.8,196.0,9.8
"gen-7114-1",195.995,196.0,LFC,true,58.8,196.0,9.8
"gen-7115-1",195.995,196.0,LFC,true,58.8,196.0,9.8
"gen-7133-1",16.299583,16.3,LFC,true,4.89,16.3,0.815
"gen-7134-1",206.54474,206.55,LFC,true,61.97,206.55,10.3275
"gen-7135-1",206.54474,206.55,LFC,true,61.97,206.55,10.3275
"gen-7136-1",206.54474,206.55,LFC,true,61.97,206.55,10.3275
"gen-7137-1",206.54474,206.55,LFC,true,61.97,206.55,10.3275
"gen-7138-1",114.40841,114.21,LFC,true,114.21,380.7,19.035
"gen-7139-1",58.99849,58.999996,LFC,true,17.7,59.0,2.95
"gen-7140-1",58.99849,58.999996,LFC,true,17.7,59.0,2.95
"gen-7141-1",58.99849,58.999996,LFC,true,17.7,59.0,2.95
"gen-7142-1",58.99849,58.999996,LFC,true,17.7,59.0,2.95
"gen-7146-1",10.199739,10.2,LFC,true,3.06,10.2,0.51
"gen-7162-1",110.59717,110.59999,LFC,true,33.18,110.6,5.53
"gen-7163-1",110.59717,110.59999,LFC,true,33.18,110.6,5.53
"gen-7164-1",110.59717,110.59999,LFC,true,33.18,110.6,5.53
"gen-7165-1",110.59717,110.59999,LFC,true,33.18,110.6,5.53
"gen-7166-1",110.59717,110.59999,LFC,true,33.18,110.6,5.53
"gen-7167-1",110.59717,110.59999,LFC,true,33.2,110.6,5.53
"gen-7168-1",87.71776,87.72,LFC,true,26.32,87.72,4.386
"gen-7169-1",87.71776,87.72,LFC,true,26.3,87.72,4.386
"gen-7170-1",105.44287,105.26,LFC,true,105.26,350.87,17.5435
"gen-7189-1",6.899824,6.8999996,LFC,true,2.07,6.9,0.345
"gen-7190-1",47.998775,48.0,LFC,true,14.4,48.0,2.4
"gen-7192-1",34.999104,35.0,LFC,true,10.5,35.0,1.75
"gen-7193-1",7.499809,7.5000005,LFC,true,2.25,7.5,0.375
"gen-7194-1",230.9441,230.95,LFC,true,69.28,230.95,11.5475
"gen-7195-1",230.9441,230.95,LFC,true,69.28,230.95,11.5475
"gen-7196-1",230.9441,230.95,LFC,true,69.28,230.95,11.5475
"gen-7197-1",230.9441,230.95,LFC,true,69.28,230.95,11.5475
"gen-7208-1",229.89871,229.5,LFC,true,229.5,765.0,38.25
"gen-7209-1",229.89871,229.5,LFC,true,229.5,765.0,38.25
"gen-7210-1",178.49544,178.5,LFC,true,53.55,178.5,8.925
"gen-7211-1",178.49544,178.5,LFC,true,53.55,178.5,8.925
"gen-7212-1",178.49544,178.5,LFC,true,53.55,178.5,8.925
"gen-7266-1",304.59222,304.6,LFC,true,91.38,304.6,15.23
"gen-7267-1",90.63768,90.64,LFC,true,27.19,90.64,4.532
"gen-7268-1",90.63768,90.64,LFC,true,27.19,90.64,4.532
"gen-7269-1",90.63768,90.64,LFC,true,27.19,90.64,4.532
"gen-7270-1",181.27536,181.28,LFC,true,54.38,181.28,9.064
"gen-7285-1",23.43999,23.42524,LFC,true,8.49,28.3,0.0
"gen-7286-1",23.43999,23.42524,LFC,true,8.49,28.3,0.0
"gen-7287-1",23.43999,23.42524,LFC,true,8.49,28.3,0.0
"gen-7288-1",23.43999,23.42524,LFC,true,8.49,28.3,0.0
"gen-7289-1",46.87998,46.85048,LFC,true,16.98,56.6,0.0
"gen-7307-1",29.050386,29.0,LFC,true,29.0,96.68,4.834
"gen-7308-1",29.050386,29.0,LFC,true,29.0,96.68,4.834
"gen-7310-1",29.050386,29.0,LFC,true,29.0,96.68,4.834
"gen-7311-1",58.110775,58.01,LFC,true,58.01,193.37,9.6685
"gen-7323-1",124.47683,124.48001,LFC,true,37.34,124.48,6.224
"gen-7324-1",124.47683,124.48001,LFC,true,37.34,124.48,6.224
"gen-7325-1",124.47683,124.48001,LFC,true,37.34,124.48,6.224
"gen-7326-1",124.47683,124.48001,LFC,true,37.34,124.48,6.224
"gen-7329-1",30.623108,30.57,LFC,true,30.57,101.9,5.095
"gen-7335-1",136.28635,136.05,LFC,true,136.05,453.5,9.07
"gen-7349-1",94.31356,94.15,LFC,true,94.15,313.83,15.6915
"gen-7350-1",94.31356,94.15,LFC,true,94.15,313.83,15.6915
"gen-7351-1",94.31356,94.15,LFC,true,94.15,313.83,15.6915
"gen-7352-1",222.10837,221.94481,LFC,true,94.15,313.83,15.6915
"gen-7353-1",205.6166,205.26,LFC,true,205.26,684.2,34.21
"gen-7354-1",205.6166,205.26,LFC,true,205.26,684.2,34.21
"gen-7355-1",205.6166,205.26,LFC,true,205.26,684.2,34.21
"gen-7356-1",205.3566,205.0,LFC,true,205.0,684.2,34.21
"gen-7357-1",16.299583,16.3,LFC,true,4.89,16.3,0.815
"gen-7358-1",225.19424,225.19998,LFC,true,67.56,225.2,11.26
"gen-7359-1",225.19424,225.19998,LFC,true,67.56,225.2,11.26
"gen-7360-1",225.19424,225.19998,LFC,true,67.56,225.2,11.26
"gen-7361-1",102.69737,102.7,LFC,true,30.81,102.7,5.135
"gen-7369-1",107.26726,107.270004,LFC,true,32.18,107.27,5.3635
"gen-7370-1",107.26726,107.270004,LFC,true,32.18,107.27,5.3635
"gen-7371-1",107.26726,107.270004,LFC,true,32.18,107.27,5.3635
"gen-7372-1",107.26726,107.270004,LFC,true,32.18,107.27,5.3635
"gen-7373-1",107.26726,107.270004,LFC,true,32.18,107.27,5.3635
"gen-7374-1",107.26726,107.270004,LFC,true,32.18,107.27,5.3635
