"ID","Name","Node","GeneratingUnit","RegulatedNode"
"Gen gen-5367-1:SM","BRIDGEPORT 6-1","5367","gen-5367-1","5367"
"Gen gen-5368-1:SM","BRIDGEPORT 7-1","5368","gen-5368-1","5368"
"Gen gen-5369-1:SM","BRIDGEPORT 8-1","5369","gen-5369-1","5369"
"Gen gen-5382-1:SM","ENNIS 2-1","5382","gen-5382-1","5382"
"Gen gen-5383-1:SM","ENNIS 3-1","5383","gen-5383-1","5383"
"Gen gen-5399-1:SM","ALBANY 1 5-1","5399","gen-5399-1","5399"
"Gen gen-5403-1:SM","GRANBURY 2 2-1","5403","gen-5403-1","5403"
"Gen gen-5404-1:SM","GRANBURY 2 3-1","5404","gen-5404-1","5404"
"Gen gen-5405-1:SM","GRANBURY 2 4-1","5405","gen-5405-1","5405"
"Gen gen-5406-1:SM","GRANBURY 2 5-1","5406","gen-5406-1","5406"
"Gen gen-5415-1:SM","PALO PINTO~3-1","5415","gen-5415-1","5415"
"Gen gen-5416-1:SM","PALO PINTO~4-1","5416","gen-5416-1","5416"
"Gen gen-5417-1:SM","PALO PINTO~5-1","5417","gen-5417-1","5417"
"Gen gen-5418-1:SM","PALO PINTO~6-1","5418","gen-5418-1","5418"
"Gen gen-5419-1:SM","PALO PINTO~7-1","5419","gen-5419-1","5419"
"Gen gen-5423-1:SM","LEWSIVILLE 1-1","5423","gen-5423-1","5423"
"Gen gen-5444-4:SM","MIDLOTHIAN~1-4","5444","gen-5444-4","5444"
"Gen gen-5444-5:SM","MIDLOTHIAN~1-5","5444","gen-5444-5","5444"
"Gen gen-5444-7:SM","MIDLOTHIAN~1-7","5444","gen-5444-7","5444"
"Gen gen-5444-8:SM","MIDLOTHIAN~1-8","5444","gen-5444-8","5444"
"Gen gen-6006-1:SM","BASTROP 3-1","6006","gen-6006-1","6006"
"Gen gen-6008-1:SM","BASTROP 5-1","6008","gen-6008-1","6008"
"Gen gen-6009-1:SM","BASTROP 6-1","6009","gen-6009-1","6009"
"Gen gen-6010-1:SM","BASTROP 7-1","6010","gen-6010-1","6010"
"Gen gen-6041-1:SM","AUSTIN 3 3-1","6041","gen-6041-1","6041"
"Gen gen-6042-1:SM","AUSTIN 3 4-1","6042","gen-6042-1","6042"
"Gen gen-6051-1:SM","SAN ANTON~27-1","6051","gen-6051-1","6051"
"Gen gen-6053-1:SM","SAN ANTON~29-1","6053","gen-6053-1","6053"
"Gen gen-6054-1:SM","SAN ANTON~30-1","6054","gen-6054-1","6054"
"Gen gen-6069-1:SM","MARION 1 3-1","6069","gen-6069-1","6069"
"Gen gen-6070-1:SM","MARION 1 4-1","6070","gen-6070-1","6070"
"Gen gen-6071-1:SM","MARION 1 5-1","6071","gen-6071-1","6071"
"Gen gen-6073-1:SM","MARION 1 7-1","6073","gen-6073-1","6073"
"Gen gen-6074-1:SM","MARION 1 8-1","6074","gen-6074-1","6074"
"Gen gen-6078-1:SM","LA GRANGE 3-1","6078","gen-6078-1","6078"
"Gen gen-6079-1:SM","LA GRANGE 4-1","6079","gen-6079-1","6079"
"Gen gen-6080-1:SM","LA GRANGE 5-1","6080","gen-6080-1","6080"
"Gen gen-6082-1:SM","MARBLE FAL~2-1","6082","gen-6082-1","6082"
"Gen gen-6083-1:SM","MARBLE FAL~3-1","6083","gen-6083-1","6083"
"Gen gen-6085-1:SM","ROUND ROCK~2-1","6085","gen-6085-1","6085"
"Gen gen-6086-1:SM","ROUND ROCK~3-1","6086","gen-6086-1","6086"
"Gen gen-6088-1:SM","ROUND ROCK~5-1","6088","gen-6088-1","6088"
"Gen gen-6089-1:SM","ROUND ROCK~6-1","6089","gen-6089-1","6089"
"Gen gen-6090-1:SM","ROUND ROCK~7-1","6090","gen-6090-1","6090"
"Gen gen-6104-1:SM","WINCHESTER 3-1","6104","gen-6104-1","6104"
"Gen gen-6105-1:SM","WINCHESTER 4-1","6105","gen-6105-1","6105"
"Gen gen-6106-1:SM","WINCHESTER 5-1","6106","gen-6106-1","6106"
"Gen gen-6110-1:SM","ROCKDALE 1 3-1","6110","gen-6110-1","6110"
"Gen gen-6111-1:SM","ROCKDALE 1 4-1","6111","gen-6111-1","6111"
"Gen gen-6145-1:SM","SAN ANTONI~5-1","6145","gen-6145-1","6145"
"Gen gen-6146-1:SM","SAN ANTONI~6-1","6146","gen-6146-1","6146"
"Gen gen-6147-1:SM","SAN ANTONI~7-1","6147","gen-6147-1","6147"
"Gen gen-6149-1:SM","SAN ANTONI~9-1","6149","gen-6149-1","6149"
"Gen gen-6164-1:SM","SEGUIN 1 3-1","6164","gen-6164-1","6164"
"Gen gen-6165-1:SM","SEGUIN 1 4-1","6165","gen-6165-1","6165"
"Gen gen-6166-1:SM","SEGUIN 1 5-1","6166","gen-6166-1","6166"
"Gen gen-6167-1:SM","SEGUIN 1 6-1","6167","gen-6167-1","6167"
"Gen gen-6213-1:SM","MARBLE FAL~7-1","6213","gen-6213-1","6213"
"Gen gen-6214-1:SM","MARBLE FAL~8-1","6214","gen-6214-1","6214"
"Gen gen-6215-1:SM","MARBLE FAL~9-1","6215","gen-6215-1","6215"
"Gen gen-6216-1:SM","MARBLE FA~10-1","6216","gen-6216-1","6216"
"Gen gen-6242-1:SM","ELMENDORF 3-1","6242","gen-6242-1","6242"
"Gen gen-6243-1:SM","ELMENDORF 4-1","6243","gen-6243-1","6243"
"Gen gen-6244-1:SM","ELMENDORF 5-1","6244","gen-6244-1","6244"
"Gen gen-6245-1:SM","ELMENDORF 6-1","6245","gen-6245-1","6245"
"Gen gen-6246-1:SM","ELMENDORF 7-1","6246","gen-6246-1","6246"
"Gen gen-6247-1:SM","ELMENDORF 8-1","6247","gen-6247-1","6247"
"Gen gen-6248-1:SM","ELMENDORF 9-1","6248","gen-6248-1","6248"
"Gen gen-6249-1:SM","ELMENDORF 10-1","6249","gen-6249-1","6249"
"Gen gen-6257-1:SM","AUSTIN 2 3-1","6257","gen-6257-1","6257"
"Gen gen-6258-1:SM","AUSTIN 2 4-1","6258","gen-6258-1","6258"
"Gen gen-6260-1:SM","AUSTIN 2 6-1","6260","gen-6260-1","6260"
"Gen gen-6266-1:SM","CUERO 1 1-1","6266","gen-6266-1","6266"
"Gen gen-6267-1:SM","CUERO 1 2-1","6267","gen-6267-1","6267"
"Gen gen-6268-1:SM","CUERO 1 3-1","6268","gen-6268-1","6268"
"Gen gen-6269-1:SM","CUERO 1 4-1","6269","gen-6269-1","6269"
"Gen gen-6274-1:SM","CUERO 1 9-1","6274","gen-6274-1","6274"
"Gen gen-6295-1:SM","CEDAR CREE~4-1","6295","gen-6295-1","6295"
"Gen gen-6296-1:SM","CEDAR CREE~5-1","6296","gen-6296-1","6296"
"Gen gen-6297-1:SM","CEDAR CREE~6-1","6297","gen-6297-1","6297"
"Gen gen-6302-1:SM","NEW BRAUNF~5-1","6302","gen-6302-1","6302"
"Gen gen-6303-1:SM","NEW BRAUNF~6-1","6303","gen-6303-1","6303"
"Gen gen-6304-1:SM","NEW BRAUNF~7-1","6304","gen-6304-1","6304"
"Gen gen-6305-1:SM","NEW BRAUNF~8-1","6305","gen-6305-1","6305"
"Gen gen-6346-1:SM","OILTON 0-1","6346","gen-6346-1","6346"
"Gen gen-6349-11:SM","AUSTIN 1 0-11","6349","gen-6349-11","6349"
"Gen gen-6349-7:SM","AUSTIN 1 0-7","6349","gen-6349-7","6349"
"Gen gen-6349-8:SM","AUSTIN 1 0-8","6349","gen-6349-8","6349"
"Gen gen-7005-1:SM","PASADENA 2 3-1","7005","gen-7005-1","7005"
"Gen gen-7006-1:SM","PASADENA 2 4-1","7006","gen-7006-1","7006"
"Gen gen-7007-1:SM","PASADENA 2 5-1","7007","gen-7007-1","7007"
"Gen gen-7008-1:SM","PASADENA 2 6-1","7008","gen-7008-1","7008"
"Gen gen-7009-1:SM","PASADENA 2 7-1","7009","gen-7009-1","7009"
"Gen gen-7021-1:SM","NURSERY 3-1","7021","gen-7021-1","7021"
"Gen gen-7022-1:SM","NURSERY 4-1","7022","gen-7022-1","7022"
"Gen gen-7023-1:SM","NURSERY 5-1","7023","gen-7023-1","7023"
"Gen gen-7024-1:SM","NURSERY 6-1","7024","gen-7024-1","7024"
"Gen gen-7031-1:SM","PORT LAVAC~3-1","7031","gen-7031-1","7031"
"Gen gen-7032-1:SM","PORT LAVAC~4-1","7032","gen-7032-1","7032"
"Gen gen-7033-1:SM","PORT LAVAC~5-1","7033","gen-7033-1","7033"
"Gen gen-7045-1:SM","VICTORIA 2 3-1","7045","gen-7045-1","7045"
"Gen gen-7046-1:SM","VICTORIA 2 4-1","7046","gen-7046-1","7046"
"Gen gen-7061-1:SM","POINT COMF~7-1","7061","gen-7061-1","7061"
"Gen gen-7062-1:SM","POINT COMF~8-1","7062","gen-7062-1","7062"
"Gen gen-7063-1:SM","POINT COMF~9-1","7063","gen-7063-1","7063"
"Gen gen-7064-1:SM","POINT COM~10-1","7064","gen-7064-1","7064"
"Gen gen-7065-1:SM","POINT COM~11-1","7065","gen-7065-1","7065"
"Gen gen-7066-1:SM","POINT COM~12-1","7066","gen-7066-1","7066"
"Gen gen-7079-1:SM","BAYTOWN 2 3-1","7079","gen-7079-1","7079"
"Gen gen-7080-1:SM","BAYTOWN 2 4-1","7080","gen-7080-1","7080"
"Gen gen-7081-1:SM","BAYTOWN 2 5-1","7081","gen-7081-1","7081"
"Gen gen-7082-1:SM","BAYTOWN 2 6-1","7082","gen-7082-1","7082"
"Gen gen-7098-1:SM","WADSWORTH 3-1","7098","gen-7098-1","7098"
"Gen gen-7099-1:SM","WADSWORTH 4-1","7099","gen-7099-1","7099"
"Gen gen-7107-1:SM","DEER PARK 3-1","7107","gen-7107-1","7107"
"Gen gen-7108-1:SM","DEER PARK 4-1","7108","gen-7108-1","7108"
"Gen gen-7109-1:SM","DEER PARK 5-1","7109","gen-7109-1","7109"
"Gen gen-7110-1:SM","DEER PARK 6-1","7110","gen-7110-1","7110"
"Gen gen-7111-1:SM","DEER PARK 7-1","7111","gen-7111-1","7111"
"Gen gen-7112-1:SM","DEER PARK 8-1","7112","gen-7112-1","7112"
"Gen gen-7113-1:SM","DEER PARK 9-1","7113","gen-7113-1","7113"
"Gen gen-7114-1:SM","DEER PARK 10-1","7114","gen-7114-1","7114"
"Gen gen-7115-1:SM","DEER PARK 11-1","7115","gen-7115-1","7115"
"Gen gen-7133-1:SM","LAPORTE 3-1","7133","gen-7133-1","7133"
"Gen gen-7134-1:SM","LAPORTE 4-1","7134","gen-7134-1","7134"
"Gen gen-7135-1:SM","LAPORTE 5-1","7135","gen-7135-1","7135"
"Gen gen-7136-1:SM","LAPORTE 6-1","7136","gen-7136-1","7136"
"Gen gen-7137-1:SM","LAPORTE 7-1","7137","gen-7137-1","7137"
"Gen gen-7138-1:SM","LAPORTE 8-1","7138","gen-7138-1","7138"
"Gen gen-7139-1:SM","LAPORTE 9-1","7139","gen-7139-1","7139"
"Gen gen-7140-1:SM","LAPORTE 10-1","7140","gen-7140-1","7140"
"Gen gen-7141-1:SM","LAPORTE 11-1","7141","gen-7141-1","7141"
"Gen gen-7142-1:SM","LAPORTE 12-1","7142","gen-7142-1","7142"
"Gen gen-7146-1:SM","HOUSTON 2 1-1","7146","gen-7146-1","7146"
"Gen gen-7162-1:SM","HOUSTON 5 3-1","7162","gen-7162-1","7162"
"Gen gen-7163-1:SM","HOUSTON 5 4-1","7163","gen-7163-1","7163"
"Gen gen-7164-1:SM","HOUSTON 5 5-1","7164","gen-7164-1","7164"
"Gen gen-7165-1:SM","HOUSTON 5 6-1","7165","gen-7165-1","7165"
"Gen gen-7166-1:SM","HOUSTON 5 7-1","7166","gen-7166-1","7166"
"Gen gen-7167-1:SM","HOUSTON 5 8-1","7167","gen-7167-1","7167"
"Gen gen-7168-1:SM","HOUSTON 5 9-1","7168","gen-7168-1","7168"
"Gen gen-7169-1:SM","HOUSTON 5 10-1","7169","gen-7169-1","7169"
"Gen gen-7170-1:SM","HOUSTON 5 11-1","7170","gen-7170-1","7170"
"Gen gen-7189-1:SM","HOUSTON 4 3-1","7189","gen-7189-1","7189"
"Gen gen-7190-1:SM","HOUSTON 4 4-1","7190","gen-7190-1","7190"
"Gen gen-7192-1:SM","HOUSTON 4 6-1","7192","gen-7192-1","7192"
"Gen gen-7193-1:SM","HOUSTON 4 7-1","7193","gen-7193-1","7193"
