"ID","Name","WindingCount"
"tx2-41-43-1","BUS_41-BUS_43",2
"tx2-689-42-1","BUS_689-BUS_42",2
"tx2-706-47-1","BUS_706-BUS_47",2
"tx2-707-47-1","BUS_707-BUS_47",2
"tx2-717-48-1","BUS_717-BUS_48",2
"tx2-716-49-1","BUS_716-BUS_49",2
"tx2-726-50-1","BUS_726-BUS_50",2
"tx2-727-51-1","BUS_727-BUS_51",2
"tx2-754-52-1","BUS_754-BUS_52",2
"tx2-778-55-1","BUS_778-BUS_55",2
"tx2-796-56-1","BUS_796-BUS_56",2
"tx2-821-59-1","BUS_821-BUS_59",2
"tx2-834-60-1","BUS_834-BUS_60",2
"tx2-836-60-1","BUS_836-BUS_60",2
"tx2-66-67-1","BUS_66-BUS_67",2
"tx2-911-67-1","BUS_911-BUS_67",2
"tx2-912-67-1","BUS_912-BUS_67",2
"tx2-978-68-1","BUS_978-BUS_68",2
"tx2-979-68-1","BUS_979-BUS_68",2
"tx2-995-69-1","BUS_995-BUS_69",2
"tx2-996-69-1","BUS_996-BUS_69",2
"tx2-1059-71-1","BUS_1059-BUS_71",2
"tx2-1060-71-1","BUS_1060-BUS_71",2
"tx2-73-75-1","BUS_73-BUS_75",2
"tx2-74-76-1","BUS_74-BUS_76",2
"tx2-1095-77-1","BUS_1095-BUS_77",2
"tx2-1096-77-1","BUS_1096-BUS_77",2
"tx2-1106-78-1","BUS_1106-BUS_78",2
"tx2-1114-80-1","BUS_1114-BUS_80",2
"tx2-1115-81-1","BUS_1115-BUS_81",2
"tx2-1138-82-1","BUS_1138-BUS_82",2
"tx2-1139-82-1","BUS_1139-BUS_82",2
"tx2-1141-83-1","BUS_1141-BUS_83",2
"tx2-1192-84-1","BUS_1192-BUS_84",2
"tx2-1182-85-1","BUS_1182-BUS_85",2
"tx2-1184-86-1","BUS_1184-BUS_86",2
"tx2-1213-87-1","BUS_1213-BUS_87",2
"tx2-1217-89-1","BUS_1217-BUS_89",2
"tx2-1244-90-1","BUS_1244-BUS_90",2
"tx2-1343-91-1","BUS_1343-BUS_91",2
"tx2-1382-92-1","BUS_1382-BUS_92",2
"tx2-1384-92-1","BUS_1384-BUS_92",2
"tx2-1418-93-1","BUS_1418-BUS_93",2
"tx2-1426-96-1","BUS_1426-BUS_96",2
"tx2-1427-97-1","BUS_1427-BUS_97",2
"tx2-1502-98-1","BUS_1502-BUS_98",2
"tx2-1504-100-1","BUS_1504-BUS_100",2
"tx2-1505-101-1","BUS_1505-BUS_101",2
"tx2-1524-102-1","BUS_1524-BUS_102",2
"tx2-103-106-1","BUS_103-BUS_106",2
"tx2-1536-103-1","BUS_1536-BUS_103",2
"tx2-1538-104-1","BUS_1538-BUS_104",2
"tx2-1552-107-1","BUS_1552-BUS_107",2
"tx2-1553-107-1","BUS_1553-BUS_107",2
"tx2-1603-111-1","BUS_1603-BUS_111",2
"tx2-1623-113-1","BUS_1623-BUS_113",2
"tx2-1624-113-1","BUS_1624-BUS_113",2
"tx2-1647-114-1","BUS_1647-BUS_114",2
"tx2-1649-115-1","BUS_1649-BUS_115",2
"tx2-1650-116-1","BUS_1650-BUS_116",2
"tx2-1655-117-1","BUS_1655-BUS_117",2
"tx2-1680-118-1","BUS_1680-BUS_118",2
"tx2-1686-120-1","BUS_1686-BUS_120",2
"tx2-1687-120-1","BUS_1687-BUS_120",2
"tx2-1747-121-1","BUS_1747-BUS_121",2
"tx2-1748-121-1","BUS_1748-BUS_121",2
"tx2-1760-123-1","BUS_1760-BUS_123",2
"tx2-1762-123-1","BUS_1762-BUS_123",2
"tx2-1764-123-1","BUS_1764-BUS_123",2
"tx2-1761-124-1","BUS_1761-BUS_124",2
"tx2-1763-124-1","BUS_1763-BUS_124",2
"tx2-1775-125-1","BUS_1775-BUS_125",2
"tx2-126-127-1","BUS_126-BUS_127",2
"tx2-1814-129-1","BUS_1814-BUS_129",2
"tx2-1822-130-1","BUS_1822-BUS_130",2
"tx2-1823-130-1","BUS_1823-BUS_130",2
"tx2-131-133-1","BUS_131-BUS_133",2
"tx2-1839-131-1","BUS_1839-BUS_131",2
"tx2-132-134-1","BUS_132-BUS_134",2
"tx2-1840-132-1","BUS_1840-BUS_132",2
"tx2-1845-135-1","BUS_1845-BUS_135",2
"tx2-1846-135-1","BUS_1846-BUS_135",2
"tx2-1880-138-1","BUS_1880-BUS_138",2
"tx2-1881-138-1","BUS_1881-BUS_138",2
"tx2-1882-140-1","BUS_1882-BUS_140",2
"tx2-1902-141-1","BUS_1902-BUS_141",2
"tx2-1903-141-1","BUS_1903-BUS_141",2
"tx2-1904-142-1","BUS_1904-BUS_142",2
"tx2-1905-142-1","BUS_1905-BUS_142",2
"tx2-143-145-1","BUS_143-BUS_145",2
"tx2-1907-144-1","BUS_1907-BUS_144",2
"tx2-1906-145-1","BUS_1906-BUS_145",2
"tx2-1919-147-1","BUS_1919-BUS_147",2
"tx2-1920-148-1","BUS_1920-BUS_148",2
"tx2-1925-149-1","BUS_1925-BUS_149",2
"tx2-1987-150-1","BUS_1987-BUS_150",2
"tx2-1988-151-1","BUS_1988-BUS_151",2
"tx2-2090-152-1","BUS_2090-BUS_152",2
"tx2-2112-154-1","BUS_2112-BUS_154",2
"tx2-2113-154-1","BUS_2113-BUS_154",2
"tx2-2134-155-1","BUS_2134-BUS_155",2
"tx2-156-158-1","BUS_156-BUS_158",2
"tx2-2157-157-1","BUS_2157-BUS_157",2
"tx2-2165-159-1","BUS_2165-BUS_159",2
"tx2-2166-160-1","BUS_2166-BUS_160",2
"tx2-2170-161-1","BUS_2170-BUS_161",2
"tx2-2169-162-1","BUS_2169-BUS_162",2
"tx2-163-165-1","BUS_163-BUS_165",2
"tx2-2188-163-1","BUS_2188-BUS_163",2
"tx2-2186-164-1","BUS_2186-BUS_164",2
"tx2-2187-165-1","BUS_2187-BUS_165",2
"tx2-2195-166-1","BUS_2195-BUS_166",2
"tx2-2196-167-1","BUS_2196-BUS_167",2
"tx2-2258-169-1","BUS_2258-BUS_169",2
"tx2-2260-170-1","BUS_2260-BUS_170",2
"tx2-2261-171-1","BUS_2261-BUS_171",2
"tx2-2339-172-1","BUS_2339-BUS_172",2
"tx2-2340-173-1","BUS_2340-BUS_173",2
"tx2-2357-174-1","BUS_2357-BUS_174",2
"tx2-2357-175-1","BUS_2357-BUS_175",2
"tx2-2377-176-1","BUS_2377-BUS_176",2
"tx2-2378-176-1","BUS_2378-BUS_176",2
"tx2-2380-178-1","BUS_2380-BUS_178",2
"tx2-2381-179-1","BUS_2381-BUS_179",2
"tx2-1764-1760-1","BUS_1764-BUS_1760",2
"tx2-1763-1761-1","BUS_1763-BUS_1761",2
