"ID","Ratio","LTCEnable"
"tx2-2157-157-1:tap1",1.0995,false
"tx2-2165-159-1:tap1",1.0465,false
"tx2-2166-160-1:tap1",1.0537,false
"tx2-2170-161-1:tap1",1.0229,false
"tx2-2169-162-1:tap1",1.0617,false
"tx2-163-165-1:tap1",1.1321,false
"tx2-2188-163-1:tap1",1.0201,false
"tx2-2186-164-1:tap1",0.9844,false
"tx2-2187-165-1:tap1",1.0822,false
"tx2-2195-166-1:tap1",1.0261,false
"tx2-2196-167-1:tap1",1.0259,false
"tx2-2258-169-1:tap1",1.0528,false
"tx2-2260-170-1:tap1",1.0503,false
"tx2-2261-171-1:tap1",1.024,false
"tx2-2339-172-1:tap1",1.0215,false
"tx2-2340-173-1:tap1",1.0355,false
"tx2-2357-174-1:tap1",1.05,false
"tx2-2357-175-1:tap1",1.0491,false
"tx2-2377-176-1:tap1",1.1045,false
"tx2-2378-176-1:tap1",1.105,false
"tx2-2380-178-1:tap1",1.0297,false
"tx2-2381-179-1:tap1",1.0286,false
"tx2-1764-1760-1:tap1",0.9851,false
"tx2-1763-1761-1:tap1",0.9479,false
"tx2-355-1-1:tap2",1.0,false
"tx2-354-2-1:tap2",1.0,false
"tx2-219-3-1:tap2",1.0,false
"tx2-220-3-1:tap2",1.0,false
"tx2-245-4-1:tap2",1.0,false
"tx2-246-4-1:tap2",1.0,false
"tx2-5-6-1:tap2",1.0,false
"tx2-309-5-1:tap2",1.0,false
"tx2-309-5-2:tap2",1.0,false
"tx2-310-6-1:tap2",1.0,false
"tx2-321-7-1:tap2",1.0,false
"tx2-322-7-1:tap2",1.0,false
"tx2-332-9-1:tap2",1.0,false
"tx2-346-10-1:tap2",1.0,false
"tx2-347-10-1:tap2",1.0,false
"tx2-352-11-1:tap2",1.0,false
"tx2-353-11-1:tap2",1.0,false
"tx2-359-12-1:tap2",1.0,false
"tx2-360-12-1:tap2",1.0,false
"tx2-365-13-1:tap2",1.0,false
"tx2-366-13-1:tap2",1.0,false
"tx2-367-14-1:tap2",1.0,false
"tx2-368-14-1:tap2",1.0,false
"tx2-374-15-1:tap2",1.0,false
"tx2-16-18-1:tap2",1.0,false
"tx2-17-18-1:tap2",1.0,false
"tx2-425-19-1:tap2",1.0,false
"tx2-447-20-1:tap2",1.0,false
"tx2-448-20-1:tap2",1.0,false
"tx2-502-21-1:tap2",1.0,false
"tx2-526-22-1:tap2",1.0,false
"tx2-527-22-1:tap2",1.0,false
"tx2-540-23-1:tap2",1.0,false
"tx2-545-24-1:tap2",1.0,false
"tx2-564-25-1:tap2",1.0,false
"tx2-568-26-1:tap2",1.0,false
"tx2-29-32-1:tap2",1.0,false
"tx2-613-29-1:tap2",1.0,false
"tx2-615-33-1:tap2",1.0,false
"tx2-617-35-1:tap2",1.0,false
"tx2-644-36-1:tap2",1.0,false
"tx2-645-36-1:tap2",1.0,false
"tx2-663-37-1:tap2",1.0,false
"tx2-682-39-1:tap2",1.0,false
"tx2-679-40-1:tap2",1.0,false
"tx2-41-43-1:tap2",1.0,false
"tx2-689-42-1:tap2",1.0,false
"tx2-706-47-1:tap2",1.0,false
"tx2-707-47-1:tap2",1.0,false
"tx2-717-48-1:tap2",1.0,false
"tx2-716-49-1:tap2",1.0,false
"tx2-726-50-1:tap2",1.0,false
"tx2-727-51-1:tap2",1.0,false
"tx2-754-52-1:tap2",1.0,false
"tx2-778-55-1:tap2",1.0,false
"tx2-796-56-1:tap2",1.0,false
"tx2-821-59-1:tap2",1.0,false
"tx2-834-60-1:tap2",1.0,false
"tx2-836-60-1:tap2",1.0,false
"tx2-66-67-1:tap2",1.0,false
"tx2-911-67-1:tap2",1.0,false
"tx2-912-67-1:tap2",1.0,false
"tx2-978-68-1:tap2",1.0,false
"tx2-979-68-1:tap2",1.0,false
"tx2-995-69-1:tap2",1.0,false
"tx2-996-69-1:tap2",1.0,false
"tx2-1059-71-1:tap2",1.0,false
"tx2-1060-71-1:tap2",1.0,false
"tx2-73-75-1:tap2",1.0,false
"tx2-74-76-1:tap2",1.0,false
"tx2-1095-77-1:tap2",1.0,false
"tx2-1096-77-1:tap2",1.0,false
"tx2-1106-78-1:tap2",1.0,false
"tx2-1114-80-1:tap2",1.0,false
"tx2-1115-81-1:tap2",1.0,false
"tx2-1138-82-1:tap2",1.0,false
"tx2-1139-82-1:tap2",1.0,false
"tx2-1141-83-1:tap2",1.0,false
"tx2-1192-84-1:tap2",1.0,false
"tx2-1182-85-1:tap2",1.0,false
"tx2-1184-86-1:tap2",1.0,false
"tx2-1213-87-1:tap2",1.0,false
"tx2-1217-89-1:tap2",1.0,false
"tx2-1244-90-1:tap2",1.0,false
"tx2-1343-91-1:tap2",1.0,false
"tx2-1382-92-1:tap2",1.0,false
"tx2-1384-92-1:tap2",1.0,false
"tx2-1418-93-1:tap2",1.0,false
"tx2-1426-96-1:tap2",1.0,false
"tx2-1427-97-1:tap2",1.0,false
"tx2-1502-98-1:tap2",1.0,false
"tx2-1504-100-1:tap2",1.0,false
"tx2-1505-101-1:tap2",1.0,false
"tx2-1524-102-1:tap2",1.0,false
"tx2-103-106-1:tap2",1.0,false
"tx2-1536-103-1:tap2",1.0,false
"tx2-1538-104-1:tap2",1.0,false
"tx2-1552-107-1:tap2",1.0,false
"tx2-1553-107-1:tap2",1.0,false
"tx2-1603-111-1:tap2",1.0,false
"tx2-1623-113-1:tap2",1.0,false
"tx2-1624-113-1:tap2",1.0,false
"tx2-1647-114-1:tap2",1.0,false
"tx2-1649-115-1:tap2",1.0,false
"tx2-1650-116-1:tap2",1.0,false
"tx2-1655-117-1:tap2",1.0,false
"tx2-1680-118-1:tap2",1.0,false
"tx2-1686-120-1:tap2",1.0,false
"tx2-1687-120-1:tap2",1.0,false
"tx2-1747-121-1:tap2",1.0,false
"tx2-1748-121-1:tap2",1.0,false
"tx2-1760-123-1:tap2",1.0,false
"tx2-1762-123-1:tap2",1.0,false
"tx2-1764-123-1:tap2",1.0,false
"tx2-1761-124-1:tap2",1.0,false
"tx2-1763-124-1:tap2",1.0,false
"tx2-1775-125-1:tap2",1.0,false
"tx2-126-127-1:tap2",1.0,false
"tx2-1814-129-1:tap2",1.0,false
"tx2-1822-130-1:tap2",1.0,false
"tx2-1823-130-1:tap2",1.0,false
"tx2-131-133-1:tap2",1.0,false
"tx2-1839-131-1:tap2",1.0,false
"tx2-132-134-1:tap2",1.0,false
"tx2-1840-132-1:tap2",1.0,false
"tx2-1845-135-1:tap2",1.0,false
"tx2-1846-135-1:tap2",1.0,false
"tx2-1880-138-1:tap2",1.0,false
"tx2-1881-138-1:tap2",1.0,false
"tx2-1882-140-1:tap2",1.0,false
"tx2-1902-141-1:tap2",1.0,false
"tx2-1903-141-1:tap2",1.0,false
"tx2-1904-142-1:tap2",1.0,false
"tx2-1905-142-1:tap2",1.0,false
"tx2-143-145-1:tap2",1.0,false
"tx2-1907-144-1:tap2",1.0,false
"tx2-1906-145-1:tap2",1.0,false
"tx2-1919-147-1:tap2",1.0,false
"tx2-1920-148-1:tap2",1.0,false
"tx2-1925-149-1:tap2",1.0,false
"tx2-1987-150-1:tap2",1.0,false
"tx2-1988-151-1:tap2",1.0,false
"tx2-2090-152-1:tap2",1.0,false
"tx2-2112-154-1:tap2",1.0,false
"tx2-2113-154-1:tap2",1.0,false
"tx2-2134-155-1:tap2",1.0,false
"tx2-156-158-1:tap2",1.0,false
"tx2-2157-157-1:tap2",1.0,false
"tx2-2165-159-1:tap2",1.0,false
"tx2-2166-160-1:tap2",1.0,false
"tx2-2170-161-1:tap2",1.0,false
"tx2-2169-162-1:tap2",1.0,false
"tx2-163-165-1:tap2",1.0,false
"tx2-2188-163-1:tap2",1.0,false
"tx2-2186-164-1:tap2",1.0,false
"tx2-2187-165-1:tap2",1.0,false
"tx2-2195-166-1:tap2",1.0,false
"tx2-2196-167-1:tap2",1.0,false
"tx2-2258-169-1:tap2",1.0,false
"tx2-2260-170-1:tap2",1.0,false
"tx2-2261-171-1:tap2",1.0,false
"tx2-2339-172-1:tap2",1.0,false
"tx2-2340-173-1:tap2",1.0,false
"tx2-2357-174-1:tap2",1.0,false
"tx2-2357-175-1:tap2",1.0,false
"tx2-2377-176-1:tap2",1.0,false
"tx2-2378-176-1:tap2",1.0,false
"tx2-2380-178-1:tap2",1.0,false
"tx2-2381-179-1:tap2",1.0,false
"tx2-1764-1760-1:tap2",1.0,false
"tx2-1763-1761-1:tap2",1.0,false
