ID,GeneratingUnit,FROMP,TOP,FROMPRICE,TOPRICE
53,gen-278-1,0,60,126.7,126.7
54,gen-279-1,0,60,200,200
55,gen-281-1,0,120,150,150
56,gen-282-1,0,40,157.63,157.63
57,gen-289-1,0,2.5,158.2,158.2
58,gen-294-1,0,2,100,100
59,gen-314-1,0,1.5,96.3,96.3
60,gen-328-1,0,44,34.9,34.9
61,gen-329-1,0,44,38.9,38.9
62,gen-330-1,0,44,44.5,44.5
63,gen-331-1,0,43,69.5,69.5
64,gen-334-1,0,1.5,70.5,70.5
65,gen-346-1,0,200,134.98,134.98
66,gen-347-1,0,10,16.3,16.3
67,gen-359-1,0,1.5,14.9,14.9
68,gen-365-1,0,5.1,5.6,5.6
69,gen-382-1,0,8,6.6,6.6
70,gen-383-1,0,8,8,8
71,gen-385-1,0,6,9.9,9.9
72,gen-390-1,0,4.5,7.5,7.5
73,gen-395-1,0,10,75.2,75.2
74,gen-404-1,0,3,63.6,63.6
75,gen-426-1,0,3.2,36.6,36.6
76,gen-444-1,0,1,59.2,59.2
77,gen-451-1,0,4.5,125.85,125.85
78,gen-482-1,0,1,100.5,100.5
79,gen-492-1,0,2,108,108
80,gen-493-1,0,234,106,106
81,gen-494-1,0,234,210.56,210.56
82,gen-514-1,0,115,120.36,120.36
83,gen-515-1,0,115,89.6,89.6
84,gen-525-1,0,6,89.6,89.6
85,gen-536-1,0,6,85.6,85.6
86,gen-537-1,0,3.5,85.97,85.97
87,gen-556-1,0,2.7,78.9,78.9
88,gen-580-1,0,1.6,59.6,59.6
89,gen-584-1,0,2.7,66.4,66.4
90,gen-585-1,0,4,55.4,55.4
91,gen-607-1,0,0.8,81.6,81.6
92,gen-612-1,0,200,142.94,142.94
93,gen-613-1,0,200,128.22,128.22
94,gen-615-1,0,1.4,125.36,125.36
95,gen-623-1,0,7.6,124.6,124.6
96,gen-639-1,0,9.6,95.7,95.7
97,gen-651-1,0,4.7,92.3,92.3
98,gen-654-1,0,1.4,88.8,88.8
99,gen-664-1,0,6.2,86.7,86.7
100,gen-670-1,0,2.7,84.2,84.2
101,gen-674-1,0,1,79.9,79.9
102,gen-688-1,0,202,141.73,141.73
103,gen-692-1,0,1.4,65.3,65.3
104,gen-699-1,0,3.8,54.7,54.7
105,gen-712-1,0,1.2,44.2,44.2
106,gen-730-1,0,6.9,13.6,13.6
107,gen-732-1,0,1.1,28.6,28.6
108,gen-735-1,0,4.1,150.7,150.7
109,gen-740-1,0,4,145,145
110,gen-744-1,0,134,58.6,58.6
111,gen-754-1,0,80,100.82,100.82
112,gen-755-1,0,250,151.9,151.9
113,gen-760-1,0,3.1,12.9,12.9
114,gen-766-1,0,2.1,112.6,112.6
115,gen-784-1,0,0.7,103,103
116,gen-790-1,0,49.8,105,105
117,gen-795-1,0,1.89,46,46
118,gen-798-1,0,2.99,42.6,42.6
119,gen-814-1,0,44.92,35.7,35.7
120,gen-834-1,0,55,114.15,114.15
121,gen-878-1,0,2.99,38.6,38.6
122,gen-884-1,0,2.49,39.5,39.5
123,gen-892-1,0,31.87,45.6,45.6
124,gen-895-1,0,8.96,48.2,48.2
125,gen-901-1,0,3.68,41.5,41.5
126,gen-910-1,0,4.58,79.8,79.8
127,gen-911-1,0,370,87.95,87.95
128,gen-912-1,0,370,130.25,130.25
129,gen-914-1,0,15.93,99.36,99.36
130,gen-917-1,0,2.09,108.25,108.25
131,gen-919-1,0,21.91,137.56,137.56
132,gen-920-1,0,1.99,125.67,125.67
133,gen-929-1,0,63.73,129.5,129.5
134,gen-959-1,0,2.49,56.2,56.2
135,gen-968-1,0,0.7,44.3,44.3
136,gen-993-1,0,3.98,25.6,25.6
137,gen-994-1,0,1.99,89.5,89.5
138,gen-995-1,0,100,145.97,145.97
139,gen-996-1,0,50,137.58,137.58
140,gen-997-1,0,50,147.36,147.36
141,gen-1004-1,0,4.28,147.9,147.9
142,gen-1024-1,0,0.1,147.5,147.5
143,gen-1027-1,0,24.9,127.2,127.2
144,gen-1028-1,0,2.99,82.5,82.5
145,gen-1029-1,0,24.9,77.2,77.2
146,gen-1053-1,0,59.76,76.3,76.3
147,gen-1054-1,0,29.88,74.5,74.5
148,gen-1105-1,0,7.97,42.6,42.6
149,gen-1106-1,0,22.91,55.7,55.7
150,gen-1107-1,0,10.56,61.4,61.4
151,gen-1138-1,0,44.82,48.1,48.1
152,gen-1140-1,0,230,82.92,82.92
153,gen-1141-1,0,225,133.59,133.59
154,gen-1175-1,0,37.84,73.5,73.5
155,gen-1182-1,0,120,152.95,152.95
156,gen-1183-1,0,120,67.35,67.35
157,gen-1184-1,0,120,134.93,134.93
158,gen-1191-1,0,106.56,49.2,49.2
159,gen-1192-1,0,250,61.32,61.32
160,gen-1201-1,0,99.59,42.6,42.6
161,gen-1202-1,0,99.59,37.5,37.5
162,gen-1203-1,0,99.59,36.1,36.1
163,gen-1232-1,0,51.79,42.6,42.6
164,gen-1233-1,0,14.94,61.3,61.3
165,gen-1244-1,0,18.92,61.3,61.3
166,gen-1247-1,0,15.93,75.8,75.8
167,gen-1250-1,0,197.19,15.6,15.6
168,gen-1268-1,0,0.5,85.4,85.4
169,gen-1316-1,0,1,88.6,88.6
170,gen-1325-1,0,1.39,86.4,86.4
171,gen-1349-1,0,1.49,85.2,85.2
172,gen-1356-1,0,1,72.3,72.3
173,gen-1359-1,0,0.8,66.2,66.2
174,gen-1393-1,0,12.75,52.1,52.1
175,gen-1403-1,0,4.28,44.9,44.9
176,gen-1416-1,0,371,61.4,61.4
177,gen-1417-1,0,120,114.99,114.99
178,gen-1418-1,0,20,122.64,122.64
179,gen-1426-1,0,495,118.84,118.84
180,gen-1429-1,0,0.2,68.6,68.6
181,gen-1469-1,0,0.6,55.2,55.2
182,gen-1475-1,0,2.09,14.6,14.6
183,gen-1504-1,0,31.17,25.6,25.6
184,gen-1505-1,0,48.8,85.2,85.2
185,gen-1514-1,0,2.29,44.7,44.7
186,gen-1534-1,0,0.3,69.9,69.9
187,gen-1536-1,0,225,143.83,143.83
188,gen-1537-1,0,225,67.48,67.48
189,gen-1538-1,0,215,88,88
190,gen-1542-1,0,8.96,120.5,120.5
191,gen-1543-1,0,1.2,145.6,145.6
192,gen-1550-1,0,1.79,132.6,132.6
193,gen-1566-1,0,54.77,133.5,133.5
194,gen-1587-1,0,63.74,115.8,115.8
195,gen-1600-1,0,17.43,116.2,116.2
196,gen-1602-1,0,120,129.86,129.86
197,gen-1603-1,0,120,108.16,108.16
198,gen-1609-1,0,0.3,123.3,123.3
199,gen-1617-1,0,2,50,50
200,gen-1620-1,0,1.6,50,50
201,gen-1627-1,0,1.6,50,50
202,gen-1630-1,0,0.5,50,50
203,gen-1635-1,0,0.1,50,50
204,gen-1638-1,0,30,50,50
205,gen-1664-1,0,150,13.5,13.5
206,gen-1669-1,0,51,65.2,65.2
207,gen-1673-1,0,50,66.4,66.4
208,gen-1674-1,0,90,72.5,72.5
209,gen-1679-1,0,3,29.6,29.6
210,gen-1683-1,0,2.3,33.4,33.4
211,gen-1685-1,0,3,123.15,123.15
212,gen-1686-1,0,50,142.36,142.36
213,gen-1698-1,0,2.8,25.63,25.63
214,gen-1700-1,0,0.5,15.34,15.34
215,gen-1706-1,0,15,142.25,142.25
216,gen-1710-1,0,3,163.52,163.52
217,gen-1712-1,0,110,198.75,198.75
218,gen-1717-1,0,2.1,82.5,82.5
219,gen-1719-1,0,1.8,88.9,88.9
220,gen-1726-1,0,3.5,26.4,26.4
221,gen-1728-1,0,2.7,25.6,25.6
222,gen-1730-1,0,1.4,14.3,14.3
223,gen-1734-1,0,0.8,59.6,59.6
224,gen-1735-1,0,5,25.8,25.8
225,gen-1739-1,0,3,14.5,14.5
226,gen-1742-1,0,0.4,28.5,28.5
227,gen-1749-1,0,6,75.2,75.2
228,gen-1758-1,0,1.7,88.1,88.1
229,gen-1760-1,0,55,75.66,75.66
230,gen-1761-1,0,78,76.87,76.87
231,gen-1763-1,0,50,143.58,143.58
232,gen-1764-1,0,50,153.15,153.15
233,gen-1768-1,0,4,142.3,142.3
234,gen-1788-1,0,3.3,117.8,117.8
235,gen-1793-1,0,3,119.5,119.5
236,gen-1799-1,0,1.5,120,120
237,gen-1807-1,0,2.6,110,110
238,gen-1844-1,0,1.2,80,80
239,gen-1845-1,0,1.2,90,90
240,gen-1870-1,0,1.2,80,80
241,gen-1871-1,0,0.6,70,70
242,gen-1874-1,0,4,60,60
243,gen-1875-1,0,0.5,30,30
244,gen-1882-1,0,200,131.78,131.78
245,gen-1883-1,0,200,53.88,53.88
246,gen-1894-1,0,1.5,50,50
247,gen-1895-1,0,0.3,40,40
248,gen-1904-1,0,17,50,50
249,gen-1918-1,0,6,60,60
250,gen-1921-1,0,50.7,66.5,66.5
251,gen-1932-1,0,2.5,53.8,53.8
252,gen-1940-1,0,2,64.5,64.5
253,gen-1947-1,0,6,34.5,34.5
254,gen-1960-1,0,1.5,22.6,22.6
255,gen-1961-1,0,0.6,15.2,15.2
256,gen-1962-1,0,0.6,54.2,54.2
257,gen-1964-1,0,0.5,10,10
258,gen-1966-1,0,2.9,12,12
259,gen-1970-1,0,2,15,15
260,gen-1974-1,0,3.5,17.5,17.5
261,gen-1976-1,0,2.8,153,153
262,gen-1977-1,0,3,75.6,75.6
263,gen-1993-1,0,2.6,44.5,44.5
264,gen-1995-1,0,21,42.6,42.6
265,gen-1996-1,0,0.2,42.5,42.5
266,gen-1998-1,0,0.4,12.7,12.7
267,gen-2010-1,0,200,44.8,44.8
268,gen-2021-1,0,83.4,96.5,96.5
269,gen-2022-1,0,81,85.4,85.4
270,gen-2026-1,0,25,67.5,67.5
271,gen-2027-1,0,12,75.8,75.8
272,gen-2033-1,0,5.6,110,110
273,gen-2034-1,0,0.5,50,50
274,gen-2036-1,0,0.4,60,60
275,gen-2046-1,0,1,60,60
276,gen-2085-1,0,0.3,70,70
277,gen-2088-1,0,0.5,80,80
278,gen-2099-1,0,18,90,90
279,gen-2106-1,0,1,45.5,45.5
280,gen-2107-1,0,3,60.5,60.5
281,gen-2108-1,0,0.6,55.2,55.2
282,gen-2115-1,0,2.4,15.4,15.4
283,gen-2119-1,0,110,16.5,16.5
284,gen-2121-1,0,1,14.5,14.5
285,gen-2127-1,0,2.2,17.8,17.8
286,gen-2138-1,0,50,15.6,15.6
287,gen-2139-1,0,40,55.4,55.4
288,gen-2140-1,0,7.7,34,34
289,gen-2153-1,0,0.7,64,64
290,gen-2159-1,0,12,51,51
291,gen-2164-1,0,4.1,41.2,41.2
292,gen-2167-1,0,90,43.5,43.5
293,gen-2168-1,0,50,59.2,59.2
294,gen-2171-1,0,6.5,99,99
295,gen-2194-1,0,10,100,100
296,gen-2197-1,0,27,51.5,51.5
297,gen-2204-1,0,26,66.5,66.5
298,gen-2213-1,0,2.6,88.9,88.9
299,gen-2217-1,0,4,100,100
300,gen-2218-1,0,1.5,150,150
301,gen-2221-1,0,49,200,200
302,gen-2225-1,0,1.6,180,180
303,gen-2234-1,0,2.7,60,60
304,gen-2237-1,0,16.5,150,150
305,gen-2248-1,0,2,41.6,41.6
306,gen-2268-1,0,1.8,134,134
307,gen-2271-1,0,2.4,137,137
308,gen-2272-1,0,10,38,38
309,gen-2273-1,0,6.3,18,18
310,gen-2278-1,0,1.5,26,26
311,gen-2290-1,0,0.2,47,47
312,gen-2293-1,0,2.5,34,34
313,gen-2294-1,0,1,52,52
314,gen-2296-1,0,13.5,46,46
315,gen-2298-1,0,0.4,74,74
316,gen-2307-1,0,0.4,85.5,85.5
317,gen-2323-1,0,1.1,96.5,96.5
318,gen-2328-1,0,3,96.5,96.5
319,gen-2330-1,0,0.3,82.5,82.5
320,gen-2336-1,0,55,164,164
321,gen-2339-1,0,17,158,158
322,gen-2361-1,0,51,135,135
323,gen-2372-1,0,37,29.5,29.5
324,gen-2376-1,0,2,60,60
325,gen-2379-1,0,7,45,45
326,gen-2380-1,0,50,19.6,19.6
327,gen-2381-1,0,50,0,0
